user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
GreasyLavishEagle,"WL, Accepted",3.64,166.0,1-4 years,,,,,,,,2025-04-24,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,3.0,,,,,False,False,"WL, Accepted"
MonateMonna,Accepted,3.6,165.0,1-4 years,"$75,000",2024-09-24,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:42Z,75000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
jackbenimble,Accepted,3.44,168.0,10+ years,"$105,000",2024-11-26,2024-12-02,2024-12-02,2025-01-13,2025-01-29,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,105000,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Accepted
SoupB0y,Pending,2.85,154.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
NecessarySilentUnicorn,Pending,,,5-9 years,,2025-01-23,,2025-01-28,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
RebelOppositeKitten,Rejected,3.04,153.0,,,2025-02-12,,,,,,2025-04-30,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-03-01,,,,,,2025-04-30,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
slothmanwuun,Pending,3.3,165.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HopelessLawmanticism,"WL, Withdrawn",3.9,162.0,1-4 years,,2025-02-01,,2025-02-12,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
sharkboy,Accepted,3.94,155.0,,,2024-11-21,2024-11-22,2024-11-22,2024-11-25,2025-01-13,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
