user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
GodlyLavishSeal,Accepted,3.5,155.0,,,,2024-11-15,,2024-12-02,,,2024-12-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
TediousAdorableFerret,Waitlisted,2.8,155.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Leegion555,Pending,3.73,144.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
LiterallyOatMilk,Waitlisted,3.38,159.0,,,2024-12-19,2024-12-19,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
OvalElderlyKrampus,Pending,2.7,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,5.0,,,,,False,False,Pending
aferns19,Waitlisted,3.42,153.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GumboGirlFanatic,"WL, Withdrawn",3.32,159.0,0 years (KJD),,2025-02-24,,,2025-02-24,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
StormyEarthyOriole,"WL, Withdrawn",3.6,166.0,,,2025-02-27,,,,,,2025-04-22,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ZUKI,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
banish7553,Accepted,3.94,160.0,,"$105,000",,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:44Z,105000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MagicalUnequalElf,Accepted,3.85,169.0,,"$108,000",,,,,,,2024-12-04,,2025-06-13T15:24:44Z,108000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
