user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
UpsetFreezingAngelfish,Rejected,3.37,151.0,,,2024-12-05,,,,,,2025-01-02,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AbashedHandsomelySphinx,Accepted,,,,,,,,,,,2025-03-07,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LightGiantDwarf,Rejected,3.4,161.0,1-4 years,,2024-12-03,,,,,,2025-03-24,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
WholesaleIllRock,Rejected,3.27,148.0,1-4 years,,2025-02-03,2025-02-03,2025-02-11,,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
FallaciousOutstandingReader,Pending,3.5,160.0,5-9 years,,,2025-01-22,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
tennisgirl303,Accepted,3.55,160.0,,,2024-11-27,,,,,,2025-02-19,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
slowcookedham,"WL, Withdrawn",3.44,163.0,0 years (KJD),,2024-12-02,2024-12-03,2024-12-03,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
SelectiveNutritiousMayfly,Pending,3.78,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ZestyBashfulStingray,Accepted,4.0,165.0,1-4 years,"$189,000",2024-09-24,,2024-09-25,2024-09-25,,,2024-11-04,Regular Decision,2025-06-13T15:24:43Z,189000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Prodigal,"WL, Withdrawn",3.86,161.0,,,,,,,,,2025-01-25,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
