user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
jackbenimble,Rejected,3.44,168.0,10+ years,,2024-11-09,2024-11-09,2024-11-12,2024-12-01,2024-12-05,,2024-12-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Rejected
theaterkidloveslegallyblonde,Rejected,4.0,160.0,,,,,,,,,2025-02-10,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
IllUnsuitablePadawon,Rejected,3.43,164.0,1-4 years,,,,,,,,2024-12-02,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
borntobealawyer,Accepted,3.94,168.0,0 years (KJD),"$45,000",2024-10-24,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:42Z,45000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
maddtara,Rejected,3.81,158.0,0 years (KJD),,2025-02-05,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ImpatientsIsKey,Rejected,3.86,166.0,,,,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MonateMonna,Rejected,3.6,165.0,1-4 years,,2024-09-24,,,,,2024-09-26,2024-12-16,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
RabidVoicelessLeek,Rejected,3.7,162.0,,,2024-12-01,2024-12-01,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
naturelover01,Rejected,3.92,156.0,1-4 years,,,2024-11-16,2024-11-18,2025-01-04,2025-01-14,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
TriteKnownCalf,Rejected,3.72,166.0,0 years (KJD),,,,,,,,2025-04-15,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
notjoebiden,Rejected,3.4,165.0,1-4 years,,2024-11-21,2024-11-21,2024-11-21,2025-01-21,2025-01-27,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,speeding ticket,regular,1.0,,,,,False,False,Rejected
buglaw,Rejected,3.78,163.0,1-4 years,,,,,,,,2025-01-03,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
hcarralero2005,"WL, Rejected",3.93,168.0,0 years (KJD),,,,,,,,2025-05-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,"WL, Rejected"
WK713,"WL, Withdrawn",4.0,168.0,0 years (KJD),,2024-12-18,2024-12-18,2024-12-19,2025-01-21,2025-01-27,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
plsgivemeanoffer,Waitlisted,3.81,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Deimos,"WL, Withdrawn",3.86,168.0,,,2025-01-13,,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
