user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
seeingstarz,Accepted,3.7,160.0,,"$15,000",2025-01-02,2025-01-02,2025-01-02,2025-01-10,,,2025-01-30,Regular Decision,2025-06-13T15:24:42Z,15000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
stonerenard,Rejected,2.6,149.0,1-4 years,,2025-04-25,2025-04-25,,,,,2025-05-15,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-03-15,2025-03-20,,,,,2025-04-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
StrangeRegularJackal,Pending,3.7,151.0,1-4 years,,2025-03-26,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
BoredStickyFox,Accepted,3.94,163.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TediousAdorableFerret,Rejected,2.8,155.0,,,,,,,,,2025-01-30,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SilkyRoyalAvatar,Rejected,3.4,153.0,1-4 years,,,,,,,,2025-03-14,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
DynamicLeanSkunk,Accepted,3.32,158.0,,"$42,000, Conditional",,,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:46Z,42000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Sebass44,Rejected,3.0,154.0,,,,,,,,,2025-03-30,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TantalusRising33,Rejected,3.62,151.0,10+ years,,2024-11-23,2024-11-25,,,,,2024-12-16,Early Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,True,Dismissed Felony Charge,early,14.0,,,,,False,False,Rejected
TheRedBaronPizza,Rejected,2.21,158.0,1-4 years,,,,,,,,2024-11-22,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
YouthfulCumbersomeLoon,Rejected,2.9,158.0,,,,,,,,,2025-02-03,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
NormalHeartBreakingHuman,Rejected,,170.0,5-9 years,,2025-02-07,,2025-02-12,,,,2025-02-27,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
didokonthelsat,Waitlisted,3.3,159.0,,,2025-02-15,,,,,,2025-02-27,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Spartyparty,Rejected,3.34,154.0,,,,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
OneCloud,Rejected,3.2,149.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
