user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
jackbenimble,Accepted,3.44,168.0,10+ years,"$108,810",2024-11-25,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,108810,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Accepted
UnderRepresentedTryhard,Waitlisted,3.2,162.0,1-4 years,,2025-02-05,,,,,,2025-04-23,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,Speed ticket + concussion 1st semester,regular,2.0,,,,,False,False,Waitlisted
TheRareESLLawyer,Pending,3.71,153.0,5-9 years,,,,2025-01-03,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
SlimyRelievedFowl,Pending,3.44,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Champine,Pending,3.46,164.0,0 years (KJD),,2025-01-03,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
Killmonger12,Accepted,3.87,152.0,,,2024-10-10,2024-10-17,,,,,2025-01-31,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MrCoach,Accepted,3.65,159.0,10+ years,"$105,300",2024-09-05,,,,,,2024-11-07,Regular Decision,2025-06-13T15:24:43Z,105300,False,,False,,False,White,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
TannerBananer,"Accepted, Withdrawn",3.91,156.0,1-4 years,,2024-12-03,2024-12-04,2024-12-12,2024-12-12,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,,False,,True,Requested,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
Ilovetoshop123,Accepted,3.95,160.0,,"$115,000",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:44Z,115000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ExcitedVariousCloud,Pending,3.63,155.0,5-9 years,,2025-03-02,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,8.0,,,,,False,False,Pending
ClutteredPicayunePlatypus,Rejected,3.53,154.0,,,2024-09-01,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ResonantFallaciousTiger,Rejected,2.9,153.0,1-4 years,,,,,,,,2025-01-07,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Rejected
Cdiffusahater,Pending,,,1-4 years,,2025-01-11,2025-01-13,2025-01-13,2025-01-13,2025-02-21,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
Fruitfarm005,Pending,3.67,153.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NutritiousHollowCamel,Accepted,3.96,152.0,,,,,,,,,2025-02-04,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MinorDraconianCucumber,Accepted,3.64,167.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
EagleLion,Rejected,3.56,147.0,,,2024-11-29,,,,,,2025-02-23,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
DiligentBoilingGriffin,Pending,3.73,158.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PluckyAvailableStingray,Pending,3.4,156.0,,,2025-01-08,2025-01-09,2025-01-10,2025-01-10,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
JoblessLastGuppy,Pending,3.77,154.0,5-9 years,,2025-01-08,2025-01-08,,2025-02-26,2025-02-28,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,School provided CAS Fee waiver upon request,True,Black or African American,True,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
TrentCrimmTheIndependent,Accepted,3.29,162.0,,"$105,300",2025-01-08,2025-01-09,2025-01-10,2025-01-10,2025-01-20,,2025-01-24,Regular Decision,2025-06-13T15:24:46Z,105300,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NervousPreLaw,Accepted,3.64,163.0,5-9 years,"$105,300, Full",2025-01-08,2025-01-09,2025-01-10,2025-01-10,2025-01-20,,2025-01-24,Regular Decision,2025-06-13T15:24:46Z,105300,False,Full,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
QueenSwissMiss,Pending,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
AutumnSunrise,Pending,3.43,158.0,,,2025-01-09,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GrubbyFutureTadpole,Rejected,3.82,145.0,1-4 years,,,,,,,,2025-03-11,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
GlisteningAlikeUrchin,Rejected,3.64,151.0,,,2025-01-09,,2025-01-10,,,,2025-04-28,,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
HugeHolisticAngelfish,Pending,3.78,154.0,5-9 years,,2024-12-08,,,2025-01-05,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,True,,regular,5.0,,,,,False,False,Pending
LawOfAchilles,"WL, Withdrawn",3.18,165.0,1-4 years,,,,,,,,,,2025-06-13T15:24:58Z,,False,,True,,False,,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
