user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Asfooooor,"WL, Rejected",3.45,155.0,1-4 years,,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,"WL, Rejected"
WastefulCourageousPrawn,Waitlisted,3.97,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Waitlisted
reebs024,Rejected,3.3,153.0,,,,2025-03-15,,,,2025-03-18,2025-05-07,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
DrunkProbablePheasant,"WL, Rejected",3.47,157.0,,,2025-01-17,,2025-01-21,,,,2025-04-17,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RainyQuickestPanther,Waitlisted,3.96,152.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PerfectAquaticPhoenix,Waitlisted,3.3,159.0,1-4 years,,,,,,,2024-09-09,2024-10-23,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
TomorrowisAlreadyHere8097,"WL, Rejected",3.9,155.0,0 years (KJD),,2024-11-27,,,,,,2025-02-06,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,"WL, Rejected"
LawyerLinManuel,"WL, Withdrawn",3.61,151.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
IncompetentImpartialGorilla,"WL, Withdrawn",3.69,157.0,,,2024-10-18,,,,,,2025-01-30,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
ptwob,Accepted,3.19,169.0,1-4 years,,2024-11-24,2024-11-25,2024-11-25,2024-12-02,,,2024-12-09,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MrCoach,Waitlisted,3.65,159.0,10+ years,,2024-09-05,,,,,,2024-11-06,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Waitlisted
NauseatingEncouragingToddler,Rejected,2.6,163.0,1-4 years,,2025-02-20,2025-02-21,,,,2025-02-21,2025-02-27,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
SecondEquableBluebird,Rejected,3.36,152.0,,,2024-12-07,2024-12-07,2024-12-10,,,,2025-02-20,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
GreatSuperRaccoon,"WL, Rejected",3.77,156.0,,,2025-02-18,,,,,,2025-04-17,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
ZUKI,Rejected,,,,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
