user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
liliumlex,Accepted,4.0,167.0,1-4 years,"$120,000, Conditional, “Maintain good academic standing”",2025-01-04,,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:42Z,120000,True,“Maintain good academic standing”,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
doglover12,Pending,3.0,163.0,,,2024-09-01,2024-09-01,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PremiumPeriodicCapybara,Pending,2.67,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,,4.0,,,,,False,False,Pending
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
swiftredbull,Accepted,3.3,161.0,1-4 years,"$60,000",2024-11-05,2024-11-10,2024-11-13,2024-11-20,,,2025-03-20,Regular Decision,2025-06-13T15:24:43Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
TheRareESLLawyer,"WL, Withdrawn",3.71,153.0,5-9 years,,,,2025-01-03,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
LEM4life,Pending,3.55,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
LongmontMaverick,Waitlisted,3.75,153.0,,,2024-09-05,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
UnequaledTastefulCow,Pending,3.1,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FamiliarPuffyFowl,Pending,3.08,158.0,1-4 years,,2025-02-09,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
Killmonger12,Waitlisted,3.87,152.0,,,2024-10-31,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
HighLongPug,Pending,3.3,166.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
NauseatingEncouragingToddler,Pending,2.6,163.0,1-4 years,,2025-02-20,2025-02-20,2025-02-24,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
YellowOffbeatWyrm,Accepted,3.82,159.0,1-4 years,"$90,000",,,,,,,2025-04-03,Regular Decision,2025-06-13T15:24:43Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
FragileDeadPickle,Accepted,3.45,165.0,10+ years,"$45,000",2025-02-15,,,,,,2025-03-20,Regular Decision,2025-06-13T15:24:43Z,45000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,12.0,,,,,False,False,Accepted
FaithfulFinePig,Pending,3.65,159.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
Cmiran32,pending,3.2,168.0,,,,,,,,,,Regular Decision,2025-11-22T17:45:08Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,pending
BigSmoothhh,Pending,3.4,161.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
kackael,Pending,3.4,155.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
lactosetolerant,"WL, Withdrawn",3.23,160.0,5-9 years,,2024-09-16,2024-09-17,2024-12-02,2025-02-07,,,2025-02-07,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,True,Speeding ticket,regular,6.0,,,,,False,False,WL
ThugPug,Rejected,2.97,155.0,5-9 years,,2025-03-03,2025-03-04,2025-03-12,2025-03-24,2025-04-23,,2025-05-02,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
OssifiedFeignedChipmunk,"WL, Withdrawn",3.4,163.0,1-4 years,,2024-12-17,,2024-12-20,2024-12-20,2025-02-14,,2025-02-19,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Multiracial,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
anxious-in-utah,"WL, Withdrawn",3.4,165.0,5-9 years,,2025-02-02,2025-02-02,2025-02-05,2025-02-28,,,2025-04-10,Regular Decision,2025-06-13T15:24:48Z,,False,,True,Unsolicited,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
MysteriousGoldNugget,"WL, Withdrawn",3.31,159.0,1-4 years,,2025-02-13,2025-02-13,2025-02-17,,,,2025-05-05,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
PeteCarrollRunTheBall,Pending,3.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MensReina,Accepted,3.7,152.0,0 years (KJD),,2024-12-03,2024-12-06,2024-12-06,2024-12-10,2025-01-20,,2025-02-14,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
PhysicsRelevant,Pending,3.64,157.0,1-4 years,,,,2025-02-19,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
ChronicallyonHere,Pending,3.1,159.0,,,2025-01-06,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
untrueunkindunnatural,"WL, Withdrawn",3.34,164.0,1-4 years,,2024-12-08,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
AquaticCreepyTortoise,Pending,3.59,159.0,5-9 years,,2024-11-27,2024-12-02,2024-12-03,2024-12-24,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
pitiful-pain-9,Rejected,2.6,154.0,5-9 years,,,,,,,,2025-05-08,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Rejected
SwankyPicayuneDragonfly,Pending,3.1,161.0,10+ years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
Reishimushroom,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DKargari,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HarmoniousTruthfulFoxhound,Accepted,3.2,168.0,,,,,,,,,2025-02-04,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Grahammy04,Pending,3.54,158.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gabagool,Accepted,3.73,171.0,,"$120,000",2024-10-26,2024-11-13,,,,,2024-12-13,,2025-06-13T15:24:45Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Kittylawyer18,"WL, Withdrawn",3.76,150.0,1-4 years,,2024-09-01,,2024-09-05,2024-11-13,,,2025-02-07,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
SleepyCharmingRock,Pending,3.73,148.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
tripledoublesingle,"WL, Withdrawn",3.46,153.0,5-9 years,,,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,True,Hispanic/Latino,True,False,False,True,False,False,False,,,5.0,,,,,False,False,WL
PsychoticMacabreFlounder,"WL, Withdrawn",2.3,171.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,True,False,False,True,,regular,3.0,,,,,False,False,WL
LawSchool1831,Pending,4.0,150.0,,,2025-04-06,2025-04-06,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
RenegadeDawg0824,Pending,2.62,157.0,10+ years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,True,"Academic Probably, Undergrad 1st Semester",,13.0,,,,,False,False,Pending
hhall1999,Pending,3.56,165.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PotentialWest,"WL, Withdrawn",2.7,164.0,5-9 years,,2024-10-04,2024-10-07,2024-10-08,2024-11-15,2025-02-07,,2025-02-07,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,True,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
Zabonkybaka,Accepted,3.75,164.0,,"$120,000",,,,,,,2025-01-30,,2025-06-13T15:24:45Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AtlasBeansJuice,"WL, Withdrawn",3.35,158.0,0 years (KJD),,2024-11-04,2024-11-05,2024-11-07,2024-12-01,,,2025-02-07,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
ShinyLargeCrocodile,Rejected,2.75,158.0,5-9 years,,2024-10-23,,,,,,2025-04-11,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
DynamicLeanSkunk,Waitlisted,3.32,158.0,,,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
MagnificentUnwieldyLlama,Waitlisted,3.3,150.0,,,2024-11-04,,2024-11-13,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
