user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
WalkDontRun,Accepted,3.5,168.0,,,,,,,,,2025-04-09,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
kallyce,Pending,3.77,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Bakexoxo13,"WL, Withdrawn",3.6,159.0,,,2024-09-09,2020-09-09,2024-09-10,2024-10-01,,,2024-12-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TriteKnownCalf,Accepted,3.72,166.0,0 years (KJD),"$150,000",,,,,,,2025-03-25,,2025-06-13T15:24:42Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
FearNonLuvAll,"WL, Withdrawn",3.7,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Lawschoolsoon,Accepted,3.55,165.0,1-4 years,"$150,000, Dean's",,,,,,,2024-11-26,Regular Decision,2025-06-13T15:24:43Z,150000,False,Dean's,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
EatableAnimatedBison,"WL, Withdrawn",3.12,165.0,1-4 years,,2025-02-20,2025-02-21,,2025-02-24,,,2025-04-10,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
IncandescentBitterPiranha,Pending,3.86,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
BreakableTrickyLion,"WL, Withdrawn",3.73,164.0,1-4 years,,2024-12-03,2024-12-06,2024-12-06,2024-12-09,,,2025-04-10,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
tennisgirl303,Waitlisted,3.55,160.0,,,2024-11-27,,2024-12-02,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SoreOvertSeagull,"WL, Withdrawn",4.27,161.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
housefly,"WL, Withdrawn",3.27,163.0,1-4 years,,2025-01-18,2025-01-21,2025-01-21,2025-01-23,,,2025-04-10,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
GreenAmusingKiwi,Pending,3.88,158.0,0 years (KJD),,2024-11-16,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
Leegion555,Rejected,3.73,144.0,,,,,,,,,2025-04-08,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
rocco123,Accepted,4.06,169.0,,"$166,650, Full tuition",,,,,,,2024-11-22,,2025-06-13T15:24:43Z,166650,False,Full tuition,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
OrangutanCrepeJersey,Pending,3.54,165.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
liliumlex,Accepted,4.0,167.0,1-4 years,"$166,650, full OOS tuition, non-conditional",2024-12-29,2024-12-30,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,166650,False,"full OOS tuition, non-conditional",False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
IcyFrequentSwan,"WL, Withdrawn",3.6,163.0,,,2024-12-06,,,2024-12-13,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
TomorrowisAlreadyHere8097,Rejected,3.9,155.0,0 years (KJD),,2024-11-27,,,,,,2025-03-19,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
Maxmax,Rejected,3.55,158.0,,,,,,,,,2025-02-08,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Wil-sea-maybe,Waitlisted,3.09,158.0,1-4 years,,2024-12-10,2024-12-10,2024-12-11,2024-12-12,,,2025-04-10,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,High School Suspension/Traffic Infraction,regular,3.0,,,,,False,False,Waitlisted
PricklyOverratedCat,"Accepted, Withdrawn",3.76,165.0,1-4 years,"$165,000, full",2024-10-17,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:43Z,165000,False,full,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
