user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LooseJaggedPebble,Waitlisted,3.8,158.0,1-4 years,,2024-12-04,,,,,,2025-02-18,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
TiresomeElatedBadger,Waitlisted,3.89,153.0,,,2025-01-21,2025-01-22,,,,,2025-03-10,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
jackbenimble,Rejected,3.44,168.0,10+ years,,2024-11-16,2024-11-18,2024-11-19,2024-11-19,,,2024-12-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Rejected
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbashedHandsomelySphinx,Accepted,,,,,,,,,,,2025-03-07,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Curvysoggypizza,"WL, Withdrawn",3.9,159.0,1-4 years,,2024-11-11,,,2024-11-12,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
BlackLawBarbie214,Waitlisted,2.98,158.0,5-9 years,,2024-12-01,2024-12-02,,,,,,Regular Decision,2025-10-08T20:41:26Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Waitlisted
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Lawschoolsoon,Accepted,3.55,165.0,1-4 years,"$1,500, also received a ""discounted"" out of state tuition rate",2024-10-24,2024-10-25,2024-10-25,2024-11-12,,,2024-12-20,Regular Decision,2025-06-13T15:24:42Z,1500,False,"also received a ""discounted"" out of state tuition rate",False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Venuswonderwoman,Waitlisted,3.9,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DullAxiomaticCow,"WL, Withdrawn",4.18,154.0,,,2024-10-29,,,,,,2024-12-20,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
HocFastAvatar,"WL, Withdrawn",3.73,161.0,1-4 years,,2024-12-10,2024-12-11,2024-12-11,2024-12-11,,,2025-02-18,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
LegallyBrunette716,Waitlisted,3.98,162.0,5-9 years,,2024-11-20,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Waitlisted
LittleGingerGirl,Waitlisted,4.0,156.0,,,,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NavyRooster,Waitlisted,2.85,158.0,,,,2025-01-13,,2025-01-21,2025-02-12,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,True,False,False,False,False,False,True,,regular,,,,,,False,False,Waitlisted
VolatilePastoralPorcupine,"WL, Withdrawn",3.9,158.0,,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TomorrowisAlreadyHere8097,Rejected,3.9,155.0,0 years (KJD),,2024-11-27,,,,,,2024-12-19,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
OssifiedOutstandingSalamander,"WL, Withdrawn",3.9,158.0,1-4 years,,2025-01-08,2025-01-08,2025-01-09,2025-01-13,2025-02-12,,2025-04-07,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
DisgustedKnowingSnail,Pending,2.6,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gorgwannabelawyer,Rejected,3.7,153.0,,,,,,,,,2025-04-17,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-10,2024-09-11,2024-09-12,2024-09-16,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
VivaciousSableBulldog,Rejected,3.56,158.0,,,,,,,,,2025-02-25,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,,,,,,False,False,Rejected
Reeciesfallingtopieces,Waitlisted,3.45,162.0,1-4 years,,2025-03-10,2025-03-10,2025-03-10,2025-03-11,,,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
OafishAheadTaco,"WL, Withdrawn",3.9,159.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
slowcookedham,Accepted,3.44,163.0,0 years (KJD),,2024-12-03,2024-12-03,2024-12-03,2024-12-04,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
DelightfulVastFox,Rejected,3.54,165.0,,,2024-12-03,2024-12-04,,2024-12-16,,,2025-01-13,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CondemnedLawyer,"WL, Withdrawn",3.58,153.0,5-9 years,,2025-01-10,,2025-01-13,2025-01-13,,,2025-04-23,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,True,False,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
LivingUnderABigRock,Waitlisted,2.8,161.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Waitlisted
SleepyOutrageousRoadrunner,Pending,3.49,155.0,1-4 years,,2024-12-15,2024-12-16,2024-12-16,2024-12-17,2025-02-12,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
EnchantingPrivateBonobo,Accepted,3.91,167.0,,"$73,798",,,,,,,2024-11-18,Regular Decision,2025-06-13T15:24:44Z,73798,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OneBrashBuffalo,Waitlisted,2.37,167.0,,,2025-01-13,2024-01-13,2025-01-14,,,,2025-04-04,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Waitlisted
MereCooperativeHound,Accepted,3.85,161.0,1-4 years,"$9,062",2024-11-27,2024-11-28,2024-12-02,,,,2024-12-20,,2025-06-13T15:24:44Z,9062,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
NaiveCutSalad,Accepted,3.9,165.0,0 years (KJD),,2024-12-03,,,,,,2024-12-18,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
TroubledHellishPikachu,Accepted,3.84,161.0,,"$43,686",,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:44Z,43686,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
itsma,Waitlisted,3.93,157.0,1-4 years,,2024-09-14,2024-09-16,2024-09-16,2024-11-22,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
Nixon919,Accepted,3.83,176.0,,"$72,000, Fee Waiver: Requested",,,2024-12-02,,,,2024-12-20,Regular Decision,2025-06-13T15:24:45Z,72000,False,,True,Requested,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legallyunwell,Waitlisted,3.8,155.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
clearthoughts,Accepted,3.73,163.0,1-4 years,"$36,000, Out of state Tuition rate was lowered for me",2025-01-07,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:45Z,36000,False,Out of state Tuition rate was lowered for me,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
DancingEtherealOwl,Accepted,3.8,165.0,,,2024-12-08,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
