user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
FeignedFreeRabbit,Accepted,2.75,175.0,1-4 years,,,,,,,,2025-03-24,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,self-plagiarism as a 19 yr old.,regular,1.0,,,,,False,False,Accepted
SacredSlayer,Rejected,3.07,152.0,,,,,,,,,2025-01-14,,2025-06-13T15:24:43Z,,False,,False,,True,American Indian/Alaskan Native,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
legallydirtyblonde07,Accepted,3.43,155.0,,"$60,000",2024-12-03,,,,,,2024-12-20,,2025-06-13T15:24:43Z,60000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TheLawMan69,Pending,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
coronsm12,Pending,3.18,146.0,,,2024-12-02,2024-12-03,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
DisgruntledMonkey,Rejected,3.14,152.0,10+ years,,2025-03-13,2025-03-14,2025-03-17,2025-03-17,,,2025-05-07,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,True,False,False,False,False,False,True,,regular,14.0,,,,,False,False,Rejected
Kittencattigermeow,Pending,3.9,147.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ARhetoricalFoxhound,Accepted,3.1,153.0,5-9 years,"$60,000",,,,,,,2025-03-27,,2025-06-13T15:24:46Z,60000,False,,False,,False,White,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
TenseAheadHummingbird,Accepted,3.97,159.0,0 years (KJD),,,,,,,,2025-02-05,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,152.0,157.0,,,False,False,Accepted
AmbiguousPlausiblePiranha,"Accepted, Withdrawn",3.74,159.0,5-9 years,,,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,True,False,False,True,False,False,False,,regular,8.0,,,,,False,False,Accepted
Spartyparty,"Accepted, Attending",3.34,154.0,,"$60,000",,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:49Z,60000,False,,False,,False,White,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
OneCloud,Accepted,3.2,149.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DeanARichardson17,Pending,,,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DrabIncompetentAxolotl,Pending,3.2,150.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-03-20,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
anonymouslawstudent,Accepted,3.86,154.0,1-4 years,,2024-10-25,,,,,,2024-11-20,,2025-06-13T15:24:54Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
mydogslawyer,Pending,3.31,152.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:57Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
xuxu,Rejected,3.11,,10+ years,,2025-02-13,,,,,,2025-04-26,,2025-06-13T15:25:02Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
VenomousSpider,Pending,3.9,168.0,,,,,,,,,,,2025-06-13T15:25:11Z,,,,False,,False,White,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
appraiser1973,"rejected, Withdrawn",3.15,146.0,10+ years,,2025-06-28,2025-06-29,2025-07-14,,,,2025-07-28,Regular Decision,2025-08-28T18:36:46Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,30.0,,,,,False,False,rejected
NutritiousBoundlessBeaver,"Accepted, Withdrawn",3.63,156.0,1-4 years,"$60,000",2025-02-10,,2025-03-10,,,,2025-03-10,Regular Decision,2025-06-13T15:24:55Z,60000,False,,False,,False,,False,False,False,True,False,False,True,,regular,1.0,,,,,False,False,Accepted
ughhgghghghghghghhhhhhh,"Accepted, Withdrawn",3.9,149.0,1-4 years,,2025-01-25,2025-02-18,2025-02-18,,,,2025-02-26,Regular Decision,2025-06-13T15:25:00Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
jiadenbd,"Accepted, Withdrawn",,,1-4 years,"$60,324, in-state tuition, Fee Waiver: request the fee waiver",2025-03-21,,,,,,2025-04-29,Regular Decision,2025-06-13T15:25:03Z,60324,False,in-state tuition,True,request the fee waiver,False,East Asian,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,Accepted
DrunkProbablePheasant,"Accepted, Attending",3.47,157.0,,"$75,000, In state tuition + 5,000 per year unconditional",2025-01-17,,2025-01-23,,,,2025-02-21,Regular Decision,2025-06-13T15:24:44Z,75000,False,"In state tuition + 5,000 per year unconditional",False,,False,,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
RainyQuickestPanther,"Accepted, Withdrawn",3.96,152.0,,,,,,,,,2024-11-07,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
LikeableSordidBear,"Accepted, Withdrawn",3.11,154.0,1-4 years,,2024-11-26,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
TannerBananer,"Accepted, Withdrawn",3.91,156.0,1-4 years,"$25,500, Get in-state tuition, asked for more scholarship and got 8500 a year.",2025-01-11,2025-01-13,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:48Z,25500,False,"Get in-state tuition, asked for more scholarship and got 8500 a year.",False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
CulturedExultantElephant,"Accepted, Withdrawn",3.31,154.0,1-4 years,"$59,000",2024-10-25,2024-10-27,2024-10-27,,,,2024-11-21,Regular Decision,2025-06-13T15:24:54Z,59000,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
PuppyHurricane,"Accepted, Withdrawn",3.95,153.0,1-4 years,"$58,620, In-state tuition",2025-02-11,2025-02-12,2025-02-12,2025-02-12,,,2025-03-11,Regular Decision,2025-06-13T15:24:55Z,58620,False,In-state tuition,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
