user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
QuackDisagreeableBasilisk,Accepted,3.43,162.0,5-9 years,"$97,500, Fee Waiver: No fee",2024-11-03,2024-11-04,2024-11-06,2024-12-02,,,2024-12-04,Regular Decision,2025-06-13T15:24:43Z,97500,False,,True,No fee,False,White,True,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
expensivestate6171,Waitlisted,3.56,158.0,,,2025-01-04,,,2025-01-09,,,2025-02-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
DeepCumbersomeSnail,Pending,2.8,143.0,1-4 years,,2025-01-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
irish16hockey,Accepted,3.7,164.0,,"$100,000",,,,,,,2025-02-18,,2025-06-13T15:24:43Z,100000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AboundingHorribleDuck,Rejected,3.6,150.0,1-4 years,,2024-09-04,,2024-10-02,,,,2024-12-02,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,regular,2.0,,,,,False,False,Rejected
ZUKI,Rejected,,,,,,,,,,,2025-03-24,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SwankyPicayuneDragonfly,Accepted,3.1,161.0,10+ years,"$69,000",2024-12-04,2024-12-04,2024-12-26,2025-01-08,,,2025-02-04,Regular Decision,2025-06-13T15:24:44Z,69000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,12.0,,,,,False,False,Accepted
ClammySecondPanda,Accepted,3.76,158.0,,,,,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Iliketurtl,Accepted,3.32,159.0,1-4 years,"$89,000",2024-12-01,2024-12-03,,2024-12-16,2025-01-10,,2025-01-27,Regular Decision,2025-06-13T15:24:45Z,89000,False,,True,,False,East Asian,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
