user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
GentleFreezingFowl,Accepted,3.57,167.0,1-4 years,"$36,000",2025-01-26,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,36000,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
LSATInducesAnxietyButSchoolDoesNOt,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,True,,,1.0,,,,,False,False,Pending
haluigi,Accepted,3.73,166.0,,,,,,,,,2025-01-15,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
GleamingSourPeacock,Pending,3.92,151.0,,,2025-02-09,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GreenAmusingKiwi,Waitlisted,3.88,158.0,0 years (KJD),,2024-10-31,,,,,,2024-12-16,Early Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,early,0.0,,,,,False,False,Waitlisted
InnateImpartialFowl,Rejected,3.78,156.0,1-4 years,,2024-10-24,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
rocco123,Accepted,4.06,169.0,,"$60,000",,,,,,,2024-12-04,,2025-06-13T15:24:43Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TomorrowisAlreadyHere8097,Waitlisted,3.9,155.0,0 years (KJD),,2024-11-27,,,,,,2025-02-03,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
Futureharveyspecter,"WL, Withdrawn",3.21,163.0,1-4 years,,2024-12-06,2024-12-06,2024-12-30,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
slowcookedham,Waitlisted,3.44,163.0,0 years (KJD),,2024-12-02,,2024-12-13,2025-01-13,2025-02-10,,2025-02-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
TheGuyFromSuits12,Rejected,3.26,155.0,1-4 years,,2024-10-17,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
PerfectAquaticPhoenix,Rejected,3.3,159.0,1-4 years,,,,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Mikerossmeetschucknorris,Rejected,3.74,161.0,,,,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
LeftieWonderer,Accepted,3.77,162.0,1-4 years,"$9,000",2024-12-22,,,2025-02-10,,,2025-03-05,,2025-06-13T15:24:44Z,9000,False,,False,,False,White,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
TannerBananer,"WL, Withdrawn",3.91,156.0,1-4 years,,2024-11-30,2024-11-30,2024-12-10,2025-01-03,,,2025-02-11,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
rhubarblizard,Rejected,3.7,158.0,1-4 years,,,,,,,,2025-01-06,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
MereCooperativeHound,Pending,3.85,161.0,1-4 years,,2024-11-27,2024-11-27,2024-12-02,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
AudentesFortunaIuvat,Pending,3.61,162.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MushyCow,Waitlisted,3.86,160.0,,,2025-01-13,,,2025-02-17,,,2025-02-26,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CondemnedLawyer,Rejected,3.58,153.0,5-9 years,,2025-01-02,,2025-01-17,2025-02-12,,,2025-02-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
SummerDaze,Accepted,3.75,162.0,1-4 years,"$30,000",,,,,,,2025-01-30,,2025-06-13T15:24:44Z,30000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
