user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AheadJollySkunk,Accepted,3.54,164.0,,,2025-03-11,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TheLawMan69,Pending,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
FirstGenLaw28,Pending,3.18,148.0,5-9 years,,2025-02-06,2025-02-07,2025-02-07,2025-02-07,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
Alooshee,Accepted,3.1,165.0,,,,,,,,,2024-12-05,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DeadpanDispensableBadger,rejected,3.5,145.0,0 years (KJD),,,,,,,,2025-06-17,Regular Decision,2025-07-03T23:03:15Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,rejected
LackadaisicalZanyWolf,Pending,3.62,150.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BluePretty,Pending,3.3,147.0,,,,,,,,,2025-04-02,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,,2024-09-15,2024-09-16,2024-09-15,,,,2024-09-16,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
ScatteredMaterialCamel,Accepted,3.44,158.0,5-9 years,"$60,000",2025-02-05,,,,,,2025-02-12,,2025-06-13T15:24:46Z,60000,False,,False,,False,White,False,True,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
FutureBALawyer,Rejected,2.65,149.0,5-9 years,,2025-03-30,,,,,,2025-04-03,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,9.0,,,,,False,False,Rejected
GuiltlessCutCuttlefish,Accepted,3.9,,0 years (KJD),,2024-11-29,,,,,,2024-12-02,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
TommyEdwards,Accepted,3.95,167.0,,"$150,000",,,,,,,2025-02-06,,2025-06-13T15:24:47Z,150000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SturdyAmusingTarantula,Accepted,3.5,159.0,1-4 years,"$60,000, Conditional",2025-02-20,,,,,,2025-03-20,,2025-06-13T15:24:48Z,60000,True,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
threeoutchange,Accepted,,,,"$81,000",,,,,,,2025-02-28,,2025-06-13T15:24:50Z,81000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WalledLakeSlim,Pending,2.6,154.0,,,2025-01-07,,2025-01-14,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ProbablyCrocheting,Accepted,3.66,152.0,5-9 years,"$54,000",2025-02-19,,2025-02-19,,,,2025-03-03,,2025-06-13T15:24:51Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,,8.0,,,,,False,False,Accepted
DrSlippery,Accepted,3.66,160.0,,"$81,000",,,,,,,2024-09-21,,2025-06-13T15:24:52Z,81000,False,,True,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
