user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
KimberlyL,Accepted,4.1,175.0,1-4 years,"$130,794",,,,,,,2025-03-01,Regular Decision,2025-06-13T15:24:42Z,130794,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
bblizardbreath,Accepted,3.71,172.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FinickyRambunctiousRaven,Pending,3.1,163.0,,,2024-11-25,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Homeland,Rejected,3.67,153.0,1-4 years,,,,,,,,2025-03-24,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
VacuousHatefulChameleon,"WL, Withdrawn",3.43,173.0,5-9 years,,2024-10-28,,2024-11-10,2024-12-23,,,2025-03-10,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,7.0,,,,,False,False,WL
SkillfulNippyHound,Rejected,3.52,157.0,5-9 years,,2024-11-27,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
MushyCow,Waitlisted,3.86,160.0,,,2025-01-16,,,2025-01-22,2025-02-14,,2025-02-27,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DirefulReflectiveMole,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
thoscheitruther,Rejected,2.61,161.0,5-9 years,,2024-10-15,2024-10-15,,,,,2025-01-21,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,True,Speeding ticket,,7.0,,,,,False,False,Rejected
