user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
matchagirl,Pending,3.93,161.0,,,,,,2025-01-21,2025-02-07,,,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
letmeinplease3,Rejected,3.32,161.0,1-4 years,,2025-02-05,2025-02-06,2025-02-06,,,,2025-05-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
Ashidaka,Rejected,3.85,166.0,0 years (KJD),,2025-01-03,,,2025-05-07,,,2025-05-22,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
buglaw,Waitlisted,3.78,163.0,1-4 years,,2025-01-06,,,,,,2025-02-14,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
ExcitedAbundantHawk,Rejected,3.5,157.0,1-4 years,,,,2024-10-01,2024-11-21,2024-11-25,,2024-12-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Nanci,Pending,3.4,173.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
BeautifulBeachLife,rejected,2.2,155.0,10+ years,,2025-08-15,2025-08-15,2025-08-15,2025-09-26,,,2025-11-05,Regular Decision,2025-11-06T01:55:11Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,10.0,,,,,False,False,rejected
Halleluyuh,Pending,3.78,164.0,,,2024-12-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
bblizardbreath,Accepted,3.71,172.0,,,,,,,,,2024-12-29,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
bloopbluk,Pending,3.88,,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GreyBeans,"WL, Withdrawn",3.35,165.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
