user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
catherinethelawyer,Accepted,3.66,161.0,5-9 years,"$12,000, Conditional, they gave me in state tuition on top of the scholly, scholly dependent on 2.5+ gpa, Fee Waiver: unsolicited, silent",2024-12-31,2025-01-02,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:43Z,12000,True,"they gave me in state tuition on top of the scholly, scholly dependent on 2.5+ gpa",True,"unsolicited, silent",False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
stonerenard,Rejected,2.6,149.0,1-4 years,,2025-04-25,2025-04-28,,2025-05-02,,,2025-05-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
coronsm12,Rejected,3.18,146.0,,,2024-10-28,2024-10-29,2024-10-31,2024-10-31,2024-11-09,,2024-12-02,Early Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,early,,,,,,False,False,Rejected
Killmonger12,Accepted,3.87,152.0,,"$18,000",2024-10-10,2024-10-10,,,,,2024-10-29,,2025-06-13T15:24:43Z,18000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
legallydirtyblonde07,Accepted,3.43,155.0,,"$24,000",2024-12-04,,,,,,2024-12-16,,2025-06-13T15:24:43Z,24000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
hhall1999,Pending,3.56,165.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Tinzero,Rejected,2.1,156.0,1-4 years,,2025-03-03,,,,,,2025-03-10,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
ptwob,Accepted,3.19,169.0,1-4 years,,2024-12-08,2024-12-09,2024-12-09,2024-12-09,,,2024-12-11,,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
HighfalutinAheadSalamander,Pending,3.08,138.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,25.0,,,,,False,False,Pending
kcole99,Rejected,3.72,148.0,,,,,,,,,2025-01-13,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
Koooala,Rejected,2.7,155.0,10+ years,,2025-01-03,2025-01-06,2025-01-06,2025-01-06,,,2025-01-14,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,False,False,False,True,academic probation,regular,10.0,,,,,False,False,Rejected
keylimepiegreen,Accepted,3.71,162.0,1-4 years,,,,,,,,2025-01-07,Early Decision,2025-06-13T15:24:49Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,early,3.0,,,,,False,False,Accepted
BorgHussler,Rejected,2.79,151.0,1-4 years,,2025-02-19,,2025-02-19,,,,2025-03-18,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
cbury24,Rejected,3.5,150.0,,,2024-12-14,,2024-12-14,,,,2025-01-26,,2025-06-13T15:24:49Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TantalusRising33,Rejected,3.62,151.0,10+ years,,2024-12-09,2024-12-10,,,,,2025-01-08,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,True,Dismissed Felony Charge,,14.0,,,,,False,False,Rejected
Moi-moi,Rejected,2.4,154.0,1-4 years,,2024-11-27,,,,,,2025-03-03,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,True,Academic suspension ,regular,2.0,,,,,False,False,Rejected
