user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
cbury24,Pending,3.5,150.0,,,2025-01-02,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SlaymeHunnyBarrett,"WL, Withdrawn",3.48,154.0,10+ years,,2024-11-14,,,,,,2024-12-10,,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,,10.0,,,,,False,False,WL
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
MagnificentShortQueen,Rejected,,153.0,5-9 years,,2025-02-05,,,,,,2025-03-12,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
DKargari,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Cdiffusahater,Accepted,,,1-4 years,"$36,000, dean's scholarship; 60% in state",2025-01-13,2025-01-13,2025-01-16,2025-01-16,,,2025-01-30,Regular Decision,2025-06-13T15:24:44Z,36000,False,dean's scholarship; 60% in state,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
LumpyLittleNerd,Waitlisted,2.98,148.0,1-4 years,,2024-11-27,,,2025-01-08,,,2025-01-17,Early Decision,2025-06-13T15:24:45Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,early,3.0,,,,,False,False,Waitlisted
QuirkyGlossyStarfish,"WL, Withdrawn",3.76,154.0,5-9 years,,2025-02-16,,2025-02-17,,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,True,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
realellewoods,Rejected,3.42,151.0,,,,,,,,,2025-03-17,,2025-06-13T15:24:45Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ShakySmoggyCockroach,Waitlisted,3.27,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Waitlisted
