user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
GlitterBandit,Accepted,3.57,159.0,10+ years,,2024-12-01,2024-12-01,,2024-12-27,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,20.0,,,,,False,False,Accepted
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Blizmarie,Accepted,3.96,154.0,,,2024-11-02,,2024-11-14,,,,2024-11-25,,2025-06-13T15:24:43Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BlackLawBarbie214,Accepted,2.98,158.0,5-9 years,,2024-12-02,2024-12-02,2024-12-03,,,,2025-01-15,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Accepted
Reeciesfallingtopieces,"WL, Withdrawn",3.45,162.0,1-4 years,,,,,,,,2025-03-18,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
skipps,Waitlisted,3.72,151.0,,,2025-01-31,,,,,,2025-03-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
CowardlyTorpidSeagull,Rejected,3.2,160.0,,,2025-02-02,,,,,,2025-03-27,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
IcyEarthyBulldog,Accepted,3.54,151.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
hellokittylover11001,"WL, Withdrawn",3.84,152.0,1-4 years,,,,,,,,2025-03-18,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
TrashyInstinctiveBullfrog,Accepted,3.12,152.0,5-9 years,,,,,,,,2025-02-07,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
AdmitOnly,Pending,2.6,161.0,,,2025-01-28,2025-01-28,2025-01-28,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
KarateKidNeverSurrender,Rejected,3.37,158.0,,,2025-02-19,2025-02-19,2025-03-08,,,,2025-04-16,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
HelplessParallelShrew,Rejected,2.7,151.0,5-9 years,,2025-01-27,2025-01-27,2025-01-27,2025-02-04,,,2025-02-21,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,True,True,False,False,False,False,True,Academic Probation,regular,6.0,,,,,False,False,Rejected
Maverickax123,Rejected,3.6,,,,,,,,,,2025-02-21,,2025-06-13T15:24:44Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Bruce-Wayne,Accepted,3.8,155.0,,,2024-11-26,2024-11-26,2024-11-29,2024-11-29,,,2024-12-16,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
tslaw,Rejected,3.77,145.0,,,,,,,,,2025-03-04,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Asmodeus,"WL, Withdrawn",4.0,156.0,0 years (KJD),,2025-02-07,,,,,,2025-03-18,,2025-06-13T15:24:51Z,,False,,False,,False,White,False,True,False,True,False,False,False,,,0.0,,,,,False,False,WL
nutt,Pending,3.69,144.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Cutelawyerman99,Pending,2.81,164.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Rataskingwhy,Accepted,,,1-4 years,,2024-11-03,,,2024-11-08,,,2024-11-25,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
SmilingLuckyMonster,Waitlisted,3.3,154.0,,,2025-02-06,,,,,,2025-03-18,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Law-Hopeful-26,"WL, Withdrawn",3.49,161.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,False,True,False,True,False,False,True,MIP ,regular,0.0,,,,,False,False,WL
realellewoods,Waitlisted,3.42,151.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Sebass44,Waitlisted,3.0,154.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
VictoriousAbhorrentPotato,Rejected,2.92,147.0,,,2024-12-04,2024-12-07,2024-12-04,,,,2025-01-14,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
NonTradDad,Accepted,2.81,161.0,10+ years,,,,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,True,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
CrookedVivaciousAcolyte,Pending,3.0,165.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-11-29,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
HighfalutinAheadSalamander,Pending,3.08,138.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,,25.0,,,,,False,False,Pending
Drez1,Pending,3.7,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
OnerousCrabbyCollie,Rejected,3.0,149.0,,,,,,,,,2025-05-12,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
queenofthasouth,Waitlisted,2.96,151.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,2.0,,,,,False,False,Waitlisted
TangyWaggishNightingale,Accepted,3.9,150.0,,,,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
JustaGirl99,Waitlisted,3.86,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
