user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DarkDrunkIguana,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
oelhatab,Accepted,3.84,173.0,,"$135,000",,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:42Z,135000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
omgPlsletmein7,Rejected,3.9,168.0,0 years (KJD),,,,,,,,2025-04-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
WhimsicalInterestingNibbler,Rejected,3.59,174.0,,,,,,,,,2025-03-29,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AllegedAcidFrog,Rejected,3.7,165.0,,,2024-11-14,2024-11-14,2024-11-14,,,,2025-05-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,Unsolicited,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
naturelover01,Rejected,3.92,156.0,1-4 years,,2024-11-08,,,,,,2025-03-20,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
LSACvictim,Pending,3.88,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PlagueisTheWiser,rejected,3.16,168.0,5-9 years,,2025-02-06,,,,,,,Regular Decision,2025-06-29T21:40:05Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,rejected
ExpensiveParchedSnail,Rejected,3.85,164.0,,,2024-10-27,2024-10-28,2024-10-28,,,,2025-02-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MadlySecretWasp,Rejected,3.77,160.0,,,2024-10-12,2024-10-13,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
GruesomeDeepBandit,Rejected,3.18,169.0,5-9 years,,2025-01-01,2025-01-02,2025-01-02,,,,2025-04-30,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
