user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
yalpaks,Pending,3.1,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
LadyLothlorien,Rejected,2.3,163.0,5-9 years,,2025-01-03,,2025-02-27,2025-02-26,,,2025-04-03,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,True,academic probation,regular,6.0,,,,,False,False,Rejected
MichealRoss,Pending,3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
CuddlyRoastedCat,Accepted,3.65,168.0,5-9 years,"$90,000, Conditional",,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,90000,True,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
losangelesentertainmentatty,Accepted,3.7,168.0,1-4 years,"$90,000",2024-11-19,,,2024-12-06,,,2025-02-27,,2025-06-13T15:24:42Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
FriendlyShark,Accepted,3.4,163.0,1-4 years,"$120,000, Conditional",2024-10-25,,2024-11-03,,,,2025-01-01,Regular Decision,2025-06-13T15:24:42Z,120000,True,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
FallaciousOutstandingReader,Pending,3.5,160.0,5-9 years,,2025-01-27,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
PinkNeonLava,"WL, Withdrawn",,,,,2024-11-27,2024-11-27,,2025-02-13,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
NonstopMacabreLemming,Pending,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
