user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LawDawg831,Waitlisted,2.9,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NaiveProbableMinotaur,Accepted,,,,,,,,,,,2025-02-18,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
DizzyPlasticMoth,Rejected,3.68,160.0,1-4 years,,,,,,,,2025-06-01,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
LameLonelyPuma,Accepted,2.5,162.0,,"$90,000, Conditional",,,,,,,2025-02-20,,2025-06-13T15:24:42Z,90000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MatureNimblePikachu,Pending,2.84,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
VictoriousWillingBunny,Pending,3.8,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
FriendlyShark,Accepted,3.4,163.0,1-4 years,"$120,000, Conditional, Fee Waiver: Emailed and asked for fee waiver",2024-10-24,,,,,,2024-12-23,Regular Decision,2025-06-13T15:24:42Z,120000,True,,True,Emailed and asked for fee waiver,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Basalt,Pending,3.3,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
TanBaby2000,Pending,2.9,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
ellewoods420,Accepted,3.51,165.0,,"$150,000, Conditional",,,,,,,2024-12-09,Early Decision,2025-06-13T15:24:43Z,150000,True,,False,,False,White,False,False,False,False,False,False,False,,early,,,,,,False,False,Accepted
QuirkySourSwallow,Waitlisted,2.59,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-11-08,2024-11-10,2024-11-14,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Greenwave17,Pending,3.23,159.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
flossybaby,Accepted,3.4,159.0,1-4 years,"$150,000",,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:44Z,150000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
FuriouslyCurious,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
breenajeanjellybean,Pending,3.22,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
fuzzystwberriz,Waitlisted,2.39,162.0,5-9 years,,2024-11-27,,,2025-01-21,,,2025-03-05,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MichealRoss,Waitlisted,3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
BSimon06,Rejected,3.35,156.0,,,,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Imfinnagetthis,Accepted,3.68,154.0,5-9 years,"$135,000, Conditional",2024-11-29,,,,,,2025-02-26,,2025-06-13T15:24:45Z,135000,True,,True,,True,Black or African American,False,True,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
lzrdlvr18,"WL, Withdrawn",3.85,163.0,1-4 years,,2024-11-12,2024-11-12,,,,,,,2025-06-13T15:24:51Z,,False,,True,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
DecisiveVictory7,Pending,3.8,167.0,1-4 years,,2025-04-02,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
SpottyObtainableChipmunk,Pending,2.89,162.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
MagnificentUnwieldyLlama,Waitlisted,3.3,150.0,,,2024-10-28,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
comradenoodle,Pending,3.1,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PurpleLeefer,Waitlisted,3.48,153.0,1-4 years,,2025-01-08,,,,,,2025-03-09,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
SanFranciscoBostonNYC,Accepted,3.7,163.0,5-9 years,"$75,000",,,,,,,2024-12-19,,2025-06-13T15:24:45Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
LameDrabYeti,"WL, Accepted",3.89,157.0,,,,,,,,,2025-02-23,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,"WL, Accepted"
AnotherUsername1,Accepted,,,,"$135,000, Conditional",2024-12-05,,,,,,2024-12-27,Regular Decision,2025-06-13T15:24:46Z,135000,True,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GracefulSoul,"WL, Withdrawn",3.75,156.0,1-4 years,,2024-12-30,2024-12-31,2025-01-01,2025-01-04,,,,,2025-06-13T15:24:55Z,,False,,True,unsolicited,True,Black or African American,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
LawSchoolCheebs,"WL, Withdrawn",3.79,168.0,10+ years,,,,,,,,2024-11-19,,2025-06-13T15:24:57Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,15.0,,,,,False,False,WL
SushiPrincess,Pending,3.5,155.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Waitingwaiting,Accepted,3.75,160.0,,"$120,000",,,,,,,2024-12-27,Regular Decision,2025-06-13T15:24:46Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Gigib,Waitlisted,2.38,152.0,5-9 years,,2025-02-24,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,East Asian,False,False,False,False,False,False,True,Academic probation,,5.0,,,,,False,False,Waitlisted
SillyGooseLaLaLa123,Pending,3.56,151.0,,,2024-10-21,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
TenuousDispensableWyrm,"WL, Withdrawn",3.07,164.0,1-4 years,,2024-10-11,2024-11-26,2024-11-27,2024-11-27,,,2024-12-18,Regular Decision,2025-06-13T15:25:00Z,,False,,True,,True,Black or African American,True,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
Dappled-Sanitorium,"WL, Withdrawn",2.86,166.0,10+ years,,2025-01-27,,2025-01-27,2025-02-05,,,2025-03-03,,2025-06-13T15:25:00Z,,False,,True,,True,Black or African American,False,True,False,True,False,False,True,,,15.0,,,,,False,False,WL
sparklejumpropequeen,Accepted,3.2,168.0,1-4 years,"$120,000, Conditional",2024-12-09,2024-12-10,2024-12-10,2024-12-22,,,2024-12-23,Regular Decision,2025-06-13T15:24:47Z,120000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
TameInvincibleDalmatian,Waitlisted,3.88,158.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
StupidParallelTerrier,Rejected,2.4,157.0,,,,,,,,,2025-03-11,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
coleypoly,Pending,3.76,163.0,,,,,2024-12-09,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
BurlyTastelessBee,Accepted,3.96,161.0,,"$132,000, Conditional",,,,,,,2024-12-09,,2025-06-13T15:24:47Z,132000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
hazeleyedgirl,Accepted,3.91,154.0,,"$120,000, Conditional, 2.8 GPA",2025-02-20,2025-02-20,,,,,2025-03-10,,2025-06-13T15:24:48Z,120000,True,2.8 GPA,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CarelessDrearyFlounder,Pending,3.77,150.0,,,2024-11-01,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
CageyDisastrousZebra,Waitlisted,2.13,156.0,10+ years,,,,,,,,,,2025-06-13T15:24:48Z,,False,,True,,False,White,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Waitlisted
ChadEdge,Pending,3.6,150.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LavishShepherdDaily,Accepted,2.99,153.0,5-9 years,"$105,000, Conditional",2025-02-11,2025-02-14,,2025-02-17,,,2025-03-11,Regular Decision,2025-06-13T15:24:48Z,105000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
ShinyLargeCrocodile,Waitlisted,2.75,158.0,5-9 years,,2024-10-23,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
DependentEconomicKoala,Pending,3.53,156.0,,,2025-02-02,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
ApellateGun,Accepted,3.5,155.0,,"$144,000, Conditional",2025-02-15,,,,,,2025-03-05,,2025-06-13T15:24:48Z,144000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AstonishingProductiveGoblin,Pending,3.79,150.0,10+ years,,2025-02-10,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,25.0,,,,,False,False,Pending
SteadyGlossyBadger,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Moose1337,"accepted, Attending",3.3,160.0,5-9 years,"$135,000",2024-12-10,,,,,,2025-02-18,Regular Decision,2025-08-24T19:50:08Z,135000,False,,False,,False,,False,False,False,False,True,False,False,,regular,7.0,,,,,False,False,accepted
PoliteCuteCow,Accepted,3.23,165.0,1-4 years,"$135,000, Conditional",2024-12-12,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:48Z,135000,True,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SubstantialDecorousWizard,"WL, Withdrawn",3.81,159.0,,,,,,,,,,,2025-06-13T15:25:10Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
CripplingAnxiety,Accepted,3.67,153.0,,"$25,000, Conditional",,,,,,,2025-04-10,,2025-06-13T15:24:49Z,25000,True,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
DarioDarko,Waitlisted,2.7,160.0,1-4 years,,,,,,,,2025-03-31,,2025-06-13T15:24:49Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
PerfectColossalMau,"WL, Withdrawn",3.51,162.0,1-4 years,,2024-11-27,,,,,,2025-03-05,Regular Decision,2025-06-13T15:25:10Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,True,,regular,4.0,,,,,False,False,WL
JealousAboundingJackal,Accepted,3.22,167.0,,"$135,000",2025-02-25,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:49Z,135000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
