user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AliveDeadYogurt,Rejected,3.92,172.0,,,,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AllegedEnchantingTerrier,Waitlisted,3.55,176.0,0 years (KJD),,2025-01-06,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
DarkDrunkIguana,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
oelhatab,Waitlisted,3.84,173.0,,,,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LawSchoolReject,Waitlisted,3.34,171.0,10+ years,,2024-09-09,2024-09-10,2024-09-10,2024-09-11,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Waitlisted
MiniatureCarefulLettuce,Waitlisted,3.75,176.0,1-4 years,,2024-11-26,,,,,,2025-03-05,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
eNumerousTaco,Waitlisted,3.93,175.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SpiritualStingray,Accepted,4.22,175.0,0 years (KJD),,2024-11-20,,2024-11-25,,,2025-01-13,2025-01-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
LegallyBlondeAF,Accepted,3.87,174.0,,,,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
kallyce,Pending,3.77,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
