user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MiniatureCarefulLettuce,Waitlisted,3.75,176.0,1-4 years,,,2024-12-03,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
RabidVoicelessLeek,Waitlisted,3.7,162.0,,,2024-12-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
JumbledBizarreBuffalo,Waitlisted,3.99,167.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
OverratedSableGnome,Waitlisted,3.82,164.0,1-4 years,,2024-12-12,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
bigbluelawyer,Pending,,,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ARandomPerson,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CalmRomanticReindeer,Waitlisted,3.72,160.0,,,2024-09-30,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
MeekRuthlessLemur,Waitlisted,2.93,172.0,10+ years,,2024-09-03,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,14.0,,,,,False,False,Waitlisted
thugsbunny,Waitlisted,3.3,176.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
enchantedprophecy,Waitlisted,4.0,170.0,,,2025-01-07,,,,,,2025-05-12,,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
FunkyKong,Waitlisted,3.6,177.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
NonstopAncientLeek,Waitlisted,3.01,164.0,,,2024-09-17,2024-09-17,2024-09-18,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
naturelover01,Waitlisted,3.92,156.0,1-4 years,,2024-10-29,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
KimberlyL,Waitlisted,4.1,175.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
HomelyCloudyBird,Accepted,4.06,168.0,1-4 years,"$63,330",,,,,,,2025-01-22,,2025-06-13T15:24:42Z,63330,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
MonateMonna,Pending,3.6,165.0,1-4 years,,,,2024-11-29,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
Swissei,Waitlisted,3.92,168.0,0 years (KJD),,2024-12-02,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
WildShakyInfant,Pending,3.98,172.0,1-4 years,,2024-11-30,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
PreschoolJD,Waitlisted,3.94,173.0,0 years (KJD),,2024-12-01,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Waitlisted
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
pipsqueak,"WL, Withdrawn",3.98,167.0,1-4 years,,2024-11-13,2024-11-15,2024-11-16,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
bblizardbreath,Accepted,3.71,172.0,,,,,,,,,2024-12-01,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
skdanly,Waitlisted,3.72,169.0,5-9 years,,2024-11-27,2024-11-27,2024-12-02,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
CMAC858,Waitlisted,3.85,168.0,1-4 years,,,,,,,,2025-05-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
madonnainafurcoat,Waitlisted,3.93,162.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
AuspiciousOwl,"WL, Withdrawn",3.94,163.0,0 years (KJD),,,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
AmazingFaithfulMouse,"WL, Withdrawn",3.9,167.0,,,2024-10-17,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Randomthoughts229,Waitlisted,3.85,170.0,,,2024-12-02,,2024-12-02,,,,2025-04-03,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
plsgivemeanoffer,Waitlisted,3.81,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
