user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
HotDog105,Accepted,3.0,157.0,1-4 years,"$120,000",2025-02-18,2025-02-19,2025-02-19,,,,2025-02-25,Regular Decision,2025-06-13T15:24:42Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
ClumsyUsefulPlatypus,Accepted,2.89,171.0,1-4 years,"$144,000, Fee Waiver: unsolicited",2024-11-26,2024-11-26,2024-12-09,2025-01-02,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,144000,False,,True,unsolicited,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
TheGoodLlama,Accepted,3.8,152.0,10+ years,"$62,000",2024-12-04,2024-12-04,2024-12-10,,,,2025-01-24,Regular Decision,2025-06-13T15:24:43Z,62000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
Shackelford025,Pending,3.29,156.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
RFelixFinch,Rejected,3.95,168.0,10+ years,,2024-12-03,2024-12-03,2024-12-10,2025-01-02,,,2025-01-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,True,False,False,False,False,False,True,Misdemeanor Fraud,regular,19.0,,,,,False,False,Rejected
AboundingHorribleDuck,Pending,3.6,150.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,,2.0,,,,,False,False,Pending
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
chase,"WL, Withdrawn",2.67,151.0,10+ years,,2025-02-26,2025-02-26,2025-02-26,2025-03-03,,,,,2025-06-13T15:24:49Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,,18.0,,,,,False,False,WL
BuffaloBills76,Pending,2.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
StormySilentLeopard,Waitlisted,3.2,152.0,,,2024-11-14,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,True,work termination,regular,,,,,,False,False,Waitlisted
TiredStrangeMilk,Accepted,2.91,152.0,5-9 years,,2024-12-05,,,,,,2025-03-03,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,True,academic probation ,regular,5.0,,,,,False,False,Accepted
DustyEasyOyster,Accepted,2.83,148.0,5-9 years,"$15,000",2025-03-21,2025-03-21,2025-03-21,2025-03-23,2025-03-23,,2025-04-15,,2025-06-13T15:24:45Z,15000,False,,True,,False,White,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
dman0808,Accepted,3.94,155.0,1-4 years,"$120,000, Conditional",2025-01-19,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:45Z,120000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Chewie,Accepted,2.8,152.0,10+ years,"$60,000, Conditional",2025-02-04,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:45Z,60000,True,,False,,False,White,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
GainfulPriceySwallow,Accepted,3.9,151.0,1-4 years,"$60,000",2025-02-19,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:45Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
