user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Reallyhopeful2025,Accepted,3.87,161.0,1-4 years,"$90,000",2024-11-27,,,,,,2025-03-12,,2025-06-13T15:24:42Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-03-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Lawuser132,Rejected,3.54,149.0,1-4 years,,,,,,,,2025-02-13,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
MensReina,Rejected,3.7,152.0,0 years (KJD),,2025-02-19,,,,,,2025-05-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ScreenName97,Waitlisted,3.98,165.0,,,2024-12-25,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Solars-Power,"WL, Withdrawn",3.73,166.0,0 years (KJD),,2024-10-23,2024-10-23,2024-10-24,2024-10-29,,,2025-02-17,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MagnificentSulkyKnight,Waitlisted,3.48,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
AbhorrentMoaningWyvern,Pending,3.81,164.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
BeneaththeWheel,"WL, Withdrawn",3.94,164.0,0 years (KJD),,2024-11-24,2024-11-24,2024-11-25,2025-02-08,,,2025-02-10,Regular Decision,2025-06-13T15:24:44Z,,False,,False,No fee,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
LisaRinna,Waitlisted,3.87,170.0,,,2025-01-29,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
FearNonLuvAll,Pending,3.7,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SkillfulNippyHound,"WL, Rejected",3.52,157.0,5-9 years,,2024-11-23,,,,,,2025-05-15,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Rejected"
tony7790,Pending,3.0,165.0,10+ years,,2024-09-09,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
OverratedSableGnome,"WL, Withdrawn",3.82,164.0,1-4 years,,2024-12-03,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
ZestyBashfulStingray,Accepted,4.0,165.0,1-4 years,"$144,000",2024-10-09,,2024-10-10,2024-11-18,,,2025-02-10,Regular Decision,2025-06-13T15:24:43Z,144000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Basketball113,Waitlisted,3.77,166.0,,,2024-12-04,2024-12-04,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
