user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Blackbelt99,Accepted,3.82,162.0,,,2025-01-22,,2025-01-23,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ConfusedHarshCat,Rejected,3.5,167.0,,,2025-03-01,,,,,,2025-04-07,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
frogfightclub,Rejected,3.44,167.0,,,2025-01-02,2025-01-02,,,,,2025-01-30,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
uptowngirl0602,Accepted,3.7,169.0,1-4 years,"$105,000",,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
PearlBuddyJuno,Accepted,3.74,175.0,,"$135,000",2025-01-02,2025-01-02,2025-01-02,,,,2025-01-30,Regular Decision,2025-06-13T15:24:42Z,135000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
TriteKnownCalf,Waitlisted,3.72,166.0,0 years (KJD),,,,,,,,2025-02-27,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
Sugarteats,Rejected,3.59,151.0,0 years (KJD),,2024-12-31,,2024-12-31,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
Maxmax,Waitlisted,3.55,158.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
NonstopAncientLeek,Rejected,3.01,164.0,,,2024-09-13,2024-09-13,2024-09-16,,,,2024-12-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Raskolnikov,Pending,3.66,156.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
PreschoolJD,Accepted,3.94,173.0,0 years (KJD),"$165,486",2024-12-01,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,165486,False,,True,,False,White,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Accepted
SomberRepulsiveRay,"WL, Rejected",3.87,165.0,1-4 years,,2024-12-03,2024-12-03,2024-12-04,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,"WL, Rejected"
bloopbluk,Waitlisted,3.88,,,,,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Driftwoodecho,Rejected,4.0,162.0,,,,,,,,,2025-02-28,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TanHeavenlyTurtle,"WL, Withdrawn",3.1,172.0,5-9 years,,2025-02-02,,,,,,2025-04-06,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,True,,,9.0,,,,,False,False,WL
SameCravenOstrich,Rejected,3.69,161.0,1-4 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
DirefulTalentedMule,"WL, Withdrawn",3.79,164.0,1-4 years,,2024-11-27,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
SecretiveSilentAardvark,"WL, Withdrawn",3.98,164.0,,,2024-11-27,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HopefulOtter1118,"WL, Withdrawn",2.63,167.0,5-9 years,,2025-02-02,2025-02-03,2025-02-03,,,,2025-02-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,True,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
MassiveWrathfulDandelion,Pending,3.4,169.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
Uztnus,Waitlisted,3.67,167.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
seeingstarz,Rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-01-04,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AlluringAquaticAnt,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
CourageousCertainGoose,Rejected,3.82,160.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
barrendesert,Accepted,,,,"$105,000",,,,,,,2025-01-09,,2025-06-13T15:24:43Z,105000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LegallyBrunette716,Rejected,3.98,162.0,5-9 years,,2024-11-30,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
rocco123,Accepted,4.06,169.0,,"$165,486, Full tuition",,,,,,,2024-12-20,,2025-06-13T15:24:43Z,165486,False,Full tuition,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
