user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
SnottyMinorBat,Waitlisted,,,,,,,,,,,2025-04-04,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
JealousWaitingPlatypus,Accepted,3.98,160.0,,"$80,000",,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:43Z,80000,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Fruitfarm005,Accepted,3.67,153.0,,,,,,,,,2025-01-29,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Abistotle,Pending,3.1,155.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
DiligentSilverFox,Accepted,2.82,168.0,10+ years,"$69,000",2024-09-10,2024-09-26,2024-09-26,2024-09-26,,,2024-10-14,Regular Decision,2025-06-13T15:24:45Z,69000,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,15.0,,,,,False,False,Accepted
NiceFunctionalAvatar,Pending,3.96,160.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Nellsworld,Rejected,3.2,150.0,10+ years,,,,,,,,2025-02-07,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,17.0,,,,,False,False,Rejected
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
SoniaYolomayor,Waitlisted,2.89,160.0,,,2025-04-07,,,,,,2025-04-17,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
futurelawyermjd,Waitlisted,3.7,146.0,,,,,,,,,2024-10-16,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Thesappyrabbit,Pending,3.45,,,,,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PhobicAdjoiningBandit,Accepted,3.88,171.0,,"$60,000",2024-12-01,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:52Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Raydar,Accepted,3.87,171.0,,,,,,,,,2025-01-29,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Glenco,Rejected,2.7,147.0,10+ years,,2025-01-18,2025-01-18,2025-01-21,2025-01-21,,,2025-01-30,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,True,False,False,False,False,False,True,,regular,20.0,,,,,False,False,Rejected
SuperficialHesitantPikachu,Pending,,155.0,5-9 years,,,,,,,,,,2025-06-13T15:24:53Z,,False,,False,,True,American Indian/Alaskan Native,True,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
futurelawyercolorado,"Accepted, Withdrawn",3.87,166.0,1-4 years,"$118,701, Conditional, Full tuition + out of state waver",2024-09-24,,,,,,2024-10-25,Regular Decision,2025-06-13T15:24:55Z,118701,True,Full tuition + out of state waver,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
ScaredNineBasilisk,Pending,2.8,161.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WittyBookcase,"WL, Accepted",3.02,161.0,1-4 years,"$66,000",2024-12-18,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:55Z,66000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,"WL, Accepted"
FeignedSubduedCrane,Accepted,2.75,155.0,5-9 years,"$21,000",,,,,,,2025-01-24,,2025-06-13T15:24:59Z,21000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,True,DWI,,5.0,,,,,False,False,Accepted
LegalScorpion,Accepted,4.0,158.0,1-4 years,,2025-01-20,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:59Z,,False,Full Tuition.,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
wivbif,Pending,3.8,142.0,,,,,,,,,,,2025-06-13T15:24:59Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FloridaChic,Pending,2.75,148.0,10+ years,,2025-04-03,2025-04-03,,,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,True,No,True,Black or African American,False,False,False,False,False,False,False,,regular,25.0,,,,,False,False,Pending
SomberNastyLizard,Rejected,2.77,148.0,0 years (KJD),,2025-04-30,2025-05-01,,,,,2025-05-12,Regular Decision,2025-06-13T15:25:04Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
