user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
thugsbunny,Waitlisted,3.3,176.0,,,,,,,,,2025-02-07,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SkillfulNippyHound,Rejected,3.52,157.0,5-9 years,,2024-11-22,,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
theaterkidloveslegallyblonde,Waitlisted,4.0,160.0,,,,,,,,,2025-01-16,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GreenStars,Rejected,3.9,164.0,0 years (KJD),,,,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ConfusedHarshCat,Accepted,3.5,167.0,,"$112,500",2025-03-01,,,,,,2025-03-31,,2025-06-13T15:24:42Z,112500,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GoBirds40224133,Pending,3.9,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
angryporcupine,Waitlisted,3.92,162.0,,,2025-02-01,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
DecentPegasus,Waitlisted,3.65,165.0,0 years (KJD),,2024-10-13,,2024-10-14,2024-10-15,,,2024-11-12,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
WarlikeIckyRice,Waitlisted,3.92,160.0,10+ years,,2025-02-24,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Waitlisted
TriteKnownCalf,Waitlisted,3.72,166.0,0 years (KJD),,,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
StimulatingElderlyElephant,pending,3.81,167.0,0 years (KJD),,2025-08-27,2025-08-27,2025-08-28,,,,,Regular Decision,2025-08-28T13:45:07Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,pending
PanickySassyGoat,Waitlisted,3.76,167.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SameCravenOstrich,Rejected,3.69,161.0,1-4 years,,,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
DuLSATPeep,Pending,3.59,158.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
BruceSutter,"WL, Withdrawn",2.4,172.0,5-9 years,,2024-11-09,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
Lawschoolsoon,"WL, Withdrawn",3.55,165.0,1-4 years,,2024-10-24,,,,,,2024-11-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
ClassyDetailedSkunk,Pending,3.71,168.0,1-4 years,,2024-11-09,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
reebs024,Pending,3.3,153.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
seeingstarz,Rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-01-08,,,2025-02-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
CaringBlackSeahorse,"WL, Withdrawn",3.72,167.0,,,2025-03-01,2025-03-01,2025-03-03,2025-03-05,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
gshrimpy,Pending,3.85,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
JudiciousAcceptableDog,"WL, Withdrawn",3.75,167.0,5-9 years,,2024-12-13,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,True,False,False,True,,regular,7.0,,,,,False,False,WL
Maxmax,Rejected,3.55,158.0,,,,,,,,,2025-01-09,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
RhetoricalJuvenileRoc,Rejected,2.93,164.0,1-4 years,,,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
ShyLeftWombat,Waitlisted,3.7,157.0,5-9 years,,2025-01-31,,2025-02-02,2025-02-04,,,2025-03-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,True,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Waitlisted
legallymars,Pending,3.83,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Leegion555,Rejected,3.73,144.0,,,,,,,,,2025-04-08,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SpecialManyCoyote,Pending,3.93,161.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
rocco123,Accepted,4.06,169.0,,"$150,000",,,,,,,2024-11-12,,2025-06-13T15:24:43Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
pinkiepiepony,"WL, Withdrawn",3.49,179.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
PhysicalPuffyGiraffe,"WL, Withdrawn",,167.0,10+ years,,2025-01-31,,,,,,2025-03-13,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,,10.0,,,,,False,False,WL
ManyPetiteMole,Accepted,3.3,167.0,5-9 years,"$112,500",2024-10-01,2024-10-01,2024-10-01,2024-10-15,,,2024-11-12,Regular Decision,2025-06-13T15:24:43Z,112500,False,,True,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
SuccinctInexpensiveTortoise,Waitlisted,3.94,166.0,1-4 years,,2025-02-19,2025-02-19,2025-02-20,2025-02-26,,,2025-03-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
Ganix,"WL, Withdrawn",3.63,172.0,1-4 years,,2025-02-07,2025-02-08,2025-02-19,2025-02-19,,,2025-03-21,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,East Asian,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
RFelixFinch,"WL, Withdrawn",3.95,168.0,10+ years,,2024-09-13,2024-09-13,2024-09-16,2024-10-15,,,2025-03-12,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,True,False,False,True,False,False,True,Misdemeanor Fraud,regular,19.0,,,,,False,False,WL
Dingos,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SturdyTurtle,"WL, Withdrawn",3.02,175.0,10+ years,,2025-02-05,2025-02-05,2025-02-06,,,,2025-03-13,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,13.0,,,,,False,False,WL
AmmoniumThioglycolate,"WL, Withdrawn",3.86,165.0,1-4 years,,2025-01-30,2025-01-30,2025-01-31,2025-02-04,,,2025-03-13,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,East Asian,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
DirefulTalentedMule,"WL, Withdrawn",3.79,164.0,1-4 years,,2024-11-27,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
PricklyOverratedCat,Waitlisted,3.76,165.0,1-4 years,,2024-10-22,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
neontreefrog,Waitlisted,3.89,162.0,1-4 years,,,,,2025-02-18,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,162.0,162.0,5.5,,False,False,Waitlisted
BlueberriesBarrel,"WL, Withdrawn",3.09,165.0,1-4 years,,2024-12-18,2024-12-19,2025-01-02,2025-01-03,,,2025-03-12,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
MaddeningCaptainoftheGuard,Waitlisted,3.78,166.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Luckycharm202555,Rejected,,,,,,,,,,,2025-05-02,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
DraconianDeadCat,"WL, Withdrawn",3.24,173.0,1-4 years,,2024-11-04,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
Datsteeeeformeee,"WL, Withdrawn",3.6,160.0,1-4 years,,2025-02-06,,2025-02-10,2025-02-12,,,2025-03-13,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
OssifiedOutstandingSalamander,"WL, Withdrawn",3.9,158.0,1-4 years,,2024-12-10,2024-12-10,2024-12-11,2024-12-16,,,2025-03-12,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
PlantEarthyPebble,Waitlisted,3.69,165.0,,,2025-01-16,,,,,,2025-02-21,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Tarheel24,Accepted,3.64,180.0,,,2024-10-08,,,,,,2024-11-10,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LearnedRebelTurkey,Pending,3.03,167.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,True,,,,,,,,False,False,Pending
dazed-and-confused,Accepted,3.84,167.0,1-4 years,"$150,000",2025-01-13,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:44Z,150000,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
StemSplitterGirly,Accepted,3.2,176.0,1-4 years,"$105,000, $$+, received on 11/22",2024-10-06,2024-10-07,2024-10-07,2024-10-15,,,2024-11-12,Regular Decision,2025-06-13T15:24:44Z,105000,False,"$$+, received on 11/22",False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
EqualGrouchyHamster,Pending,3.5,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
PerpetualQuickVulture,Pending,3.45,,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,East Asian,True,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
