user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Tomilaw,Rejected,3.18,156.0,1-4 years,,,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
OminousOwl,Waitlisted,4.0,160.0,1-4 years,,2024-12-01,,,,,2025-01-16,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,sjleblanc,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
llama,Rejected,4.0,161.0,1-4 years,,2024-09-09,,,,,,2025-03-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,speed ticket,regular,4.0,,,,,False,False,Rejected
thugsbunny,Accepted,3.3,176.0,,"$152,000",,,,,,,2025-02-07,,2025-06-13T15:24:42Z,152000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WildShakyInfant,Waitlisted,3.98,172.0,1-4 years,,2024-11-30,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
ReadyGuiltlessStarfish,Waitlisted,3.81,165.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Maybuggie,"WL, Accepted",4.05,162.0,0 years (KJD),"$117,000",2024-11-27,2024-12-01,2024-12-11,2024-12-11,,,2025-06-05,Regular Decision,2025-06-13T15:24:42Z,117000,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,"WL, Accepted"
SloppyLikeEmu,Waitlisted,3.85,166.0,,,,,,,,,2025-03-27,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
podlaw,Rejected,3.78,155.0,,,2024-12-16,2024-12-16,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
LSD-LAW9000,Pending,4.13,174.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
naturelover01,Waitlisted,3.92,156.0,1-4 years,,2024-10-29,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
