user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
EarthySnobbishHorse,Pending,2.39,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Pending
TrickyTourtoise,Accepted,,,,"$75,000",2024-11-01,,2024-11-04,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,75000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
maddtara,Pending,3.81,158.0,0 years (KJD),,2024-12-03,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
cali2good,Waitlisted,3.4,156.0,1-4 years,,,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
NecessarySilentUnicorn,Pending,,,5-9 years,,2025-02-17,,2025-02-17,2025-02-17,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
LegallyBrunette716,Pending,3.98,162.0,5-9 years,,2024-10-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Pending
OppositeDayMikeRoss2,Pending,3.8,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
ianba,Accepted,3.9,154.0,,,,,,,,,2025-04-25,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legallyblonde25,Accepted,3.92,165.0,,"$146,880",,,,,,,2025-01-27,,2025-06-13T15:24:43Z,146880,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SaltyBridgeTroll,Pending,2.54,175.0,10+ years,,2025-01-27,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,13.0,,,,,False,False,Pending
MrSunshine999,rejected,3.69,163.0,0 years (KJD),,2025-01-27,,,2025-01-27,,,2025-08-05,Regular Decision,2025-11-13T22:55:05Z,,False,,True,,False,White,False,True,False,False,False,False,True,,regular,0.0,,,,,False,False,rejected
LiquidArcticMoon,Pending,3.99,177.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
cdnlawgal,rejected,3.7,156.0,0 years (KJD),,2024-10-15,2024-10-16,2024-10-16,2024-11-13,2025-03-17,,2025-08-19,Regular Decision,2025-08-21T14:07:34Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,rejected
AbrasiveCorgi,Pending,3.87,146.0,1-4 years,,2024-12-23,2024-12-23,2025-01-28,2025-02-26,2025-04-15,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
bigblacklaw,Waitlisted,3.72,157.0,1-4 years,,2024-11-27,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Waitlisted
DevilishFiveLemon,Accepted,3.94,158.0,1-4 years,"$45,000",,,,,,,2025-02-13,,2025-06-13T15:24:44Z,45000,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
DeadpanDispensableBadger,Pending,3.5,145.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
FirstStupendousCabbage,pending,2.53,161.0,10+ years,,2025-03-15,2025-03-17,2025-03-25,,,,,Regular Decision,2025-07-08T14:37:23Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,20.0,,,,,False,False,pending
SpicyOrange,Pending,3.7,,1-4 years,,2024-11-30,2024-11-30,2024-11-30,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
OppositeDayMikeRoss,Pending,3.77,158.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PepsiRolex,"WL, Withdrawn",3.05,,,,2024-10-10,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,True,Other,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
QueenSwissMiss,Accepted,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PointlessExcellentBread,Accepted,3.99,171.0,,"$119,553, Fee Waiver: School does not have application fee",2024-09-15,,,,,,2025-01-24,,2025-06-13T15:24:46Z,119553,False,,True,School does not have application fee,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PinkPhilsopher,Pending,3.86,155.0,,,,,,2024-12-18,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HealthyLameStingray,Accepted,3.84,166.0,1-4 years,"$116,949, full tuition up to 86 credits??",,,,2024-12-02,,,2025-01-31,,2025-06-13T15:24:46Z,116949,False,full tuition up to 86 credits??,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
TorturedPoet47,Pending,3.5,160.0,1-4 years,,2024-10-28,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,False,False,False,False,,,3.0,,,,,False,False,Pending
SameiAm,"Withdrawn, Withdrawn",4.09,164.0,0 years (KJD),,2024-11-18,2024-11-19,,,,,,,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,True,False,False,False,,,0.0,,,,,False,False,Withdrawn
gmcnmu,Pending,3.74,151.0,0 years (KJD),,2025-01-31,2025-02-03,2025-01-31,2025-02-03,,,,,2025-06-13T15:24:46Z,,False,,True,,False,,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Pending
DiligentSilverFox,Accepted,2.82,168.0,10+ years,"$90,000",2024-09-15,2024-09-19,2024-09-19,2024-09-19,2024-12-18,,2025-03-07,Regular Decision,2025-06-13T15:24:46Z,90000,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,15.0,,,,,False,False,Accepted
FreshNeighborlySquid,Accepted,3.87,162.0,,"$75,000",2024-12-16,,,,,,2025-03-11,,2025-06-13T15:24:46Z,75000,False,,True,,False,White,False,True,False,False,False,False,True,,,,,,,,False,False,Accepted
CeaselessSuccinctLiger,Pending,3.6,161.0,5-9 years,,2025-01-07,,2025-01-10,2025-01-10,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
