user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Dam,Pending,3.67,146.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
MeowPossibilities,Rejected,3.25,151.0,,,,,,,,,2025-06-06,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Leegion555,Waitlisted,3.73,144.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Mr-Esquire,Pending,3.27,149.0,10+ years,,2024-10-15,,,2024-10-15,,,,,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
AquaticRampantGoblin,Accepted,3.1,153.0,,"$102,000, Conditional",,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:43Z,102000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ManyOver12,Accepted,3.16,150.0,1-4 years,"$96,000, Conditional",,,2024-10-15,,,,2024-11-06,Regular Decision,2025-06-13T15:24:43Z,96000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Coinplatypus,Accepted,2.5,165.0,5-9 years,"$84,000",2024-12-01,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:45Z,84000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
Lawski528,Accepted,2.81,152.0,1-4 years,"$84,000, Maintain good academic standing (2.0 or higher)",,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:48Z,84000,False,Maintain good academic standing (2.0 or higher),False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PGelso,Accepted,3.77,160.0,0 years (KJD),"$117,000",2025-01-10,2025-01-10,2025-01-10,,,,2025-01-22,Regular Decision,2025-06-13T15:24:47Z,117000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
TastyHistoricalPegasus,Accepted,3.43,162.0,1-4 years,,,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
WhisperingTalentedFox,Accepted,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
eastcoast,Accepted,3.8,151.0,,"$117,000, Conditional",2025-03-08,,2025-03-11,,,,2025-04-01,Regular Decision,2025-06-28T22:47:14Z,117000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ellewoods7,Accepted,3.72,150.0,,,2024-11-28,,2024-12-03,,,,2024-12-18,,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Isrefees,Accepted,3.94,158.0,,"$111,000",,,,,,,2024-11-27,,2025-06-13T15:24:48Z,111000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PaleYouthfulCamel,Accepted,3.88,160.0,,"$117,000",,,,,,,2025-01-29,,2025-06-13T15:24:48Z,117000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BoorishSilentAnteater,Accepted,2.48,156.0,1-4 years,"$87,000",,,,,,,2025-04-22,Regular Decision,2025-06-13T15:24:50Z,87000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Ryankelly081891,Accepted,2.98,152.0,,"$102,000",,,,,,,2025-02-07,,2025-06-13T15:24:49Z,102000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
VividWandererPulse,Accepted,3.42,159.0,,"$108,000",,,,,,,2024-11-20,Regular Decision,2025-06-13T15:24:49Z,108000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
JalenHurtsEnjoyer,Pending,3.07,155.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,True,False,Pending
RainyJudiciousReindeer,Accepted,3.5,154.0,,"$108,000",,,,,,,2024-10-31,Regular Decision,2025-06-13T15:24:49Z,108000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
gentlerushmush,Accepted,2.5,152.0,,"$84,000",2025-03-10,2025-03-11,2025-03-12,2025-03-25,2025-04-01,,2025-04-08,Regular Decision,2025-06-13T15:24:49Z,84000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Grab-The-Lantern,Accepted,2.73,163.0,5-9 years,,2024-10-01,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
xuxu,Accepted,3.11,,10+ years,,2025-01-09,,,,,,2025-05-28,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Accepted
SafePastoralRabbit,Accepted,3.25,156.0,1-4 years,"$101,000",,,,,,,2025-01-27,,2025-06-13T15:24:51Z,101000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Christ116eb,Pending,2.56,153.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ShinyEqualStarfish,Pending,3.38,157.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FrightenedExcellentAardvark,Accepted,3.1,152.0,5-9 years,"$72,000",2024-11-27,,,,,,2024-12-20,,2025-06-13T15:24:52Z,72000,False,,False,,False,White,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
CurvBroadForest,Pending,3.03,149.0,1-4 years,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
OrangeVictoriousLawyer,Accepted,2.9,156.0,5-9 years,"$87,000, Conditional",2025-01-23,,,,,,2025-03-05,,2025-06-13T15:24:53Z,87000,True,,False,,False,White,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
RoyalFluffyBrain,Pending,3.4,150.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legalweapon,Pending,3.25,153.0,,,2025-02-12,,,,,,,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
UptightHungryCaterpillar,Accepted,3.8,154.0,0 years (KJD),"$108,000, Conditional",2025-02-04,2025-02-26,2025-02-04,,,,2025-02-26,,2025-06-13T15:24:54Z,108000,True,,True,,False,White,False,True,False,False,False,False,True,Academic Probation,,0.0,,,,,False,False,Accepted
ARhetoricalFoxhound,Accepted,3.1,153.0,5-9 years,"$102,000",,,,,,,2025-04-16,,2025-06-13T15:24:54Z,102000,False,,False,,False,White,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
WinxFairy,Pending,,,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
InsidiousNoxiousBunny,Waitlisted,2.42,149.0,,,,,,,,,,,2025-06-13T15:24:55Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GodisGoodDGNJ,Pending,2.43,149.0,,,2024-10-01,,,,,,,,2025-06-13T15:24:59Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbsorbingExcitedCattle,Pending,2.34,156.0,,,,,,,,,,,2025-06-13T15:24:59Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Lawuser132,Accepted,3.54,149.0,1-4 years,"$96,000",,,,,,,2025-01-02,,2025-06-13T15:25:00Z,96000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Vintagekey,Accepted,2.7,174.0,,,,,,,,,2025-03-17,,2025-06-13T15:25:00Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
InquisitiveDerangedLeek,Pending,3.5,141.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
ScreechingStupidDevil,Pending,2.65,144.0,,,,,,,,,,,2025-06-13T15:25:01Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ShyOptimalMacaw,Pending,3.85,146.0,,,,,,,,,,,2025-06-13T15:25:03Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PastoralSqueamishReindeer,Accepted,3.4,157.0,,,,,,,,,2024-11-25,,2025-06-13T15:25:03Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SomberNastyLizard,Waitlisted,2.77,148.0,0 years (KJD),,2025-04-30,2025-05-01,,,,,2025-06-09,Regular Decision,2025-06-13T15:25:04Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
Joser246,Pending,2.4,142.0,5-9 years,,,,,,,,,,2025-06-13T15:25:07Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Pending
SkillfulPossibleWoodpecker,Accepted,2.81,158.0,1-4 years,"$87,000",,,,,,,2025-06-03,,2025-06-13T15:25:10Z,87000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,,,1.0,,,,,False,False,Accepted
LegalEagleEric,accepted,4.0,149.0,10+ years,"$99,000",2025-04-22,2025-04-24,2025-04-24,2025-04-24,,,,Regular Decision,2025-07-02T17:09:35Z,99000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,19.0,,,,,False,False,accepted
HarrietSpecter,"accepted, Withdrawn",3.9,151.0,1-4 years,"$117,000, Conditional",2025-02-09,2025-02-09,2025-02-10,2025-02-12,,,2025-02-26,Regular Decision,2025-09-24T15:32:55Z,117000,True,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,accepted
trashhactual,"Accepted, Withdrawn",3.28,153.0,10+ years,"$102,000",2025-03-03,2025-03-05,2025-03-11,,,,2025-03-28,Regular Decision,2025-06-13T15:24:47Z,102000,False,,True,,True,Other,True,False,False,True,False,False,False,,regular,15.0,,,,,False,False,Accepted
ExclusiveInternalElemental,Accepted,3.71,158.0,,"$114,000",2024-11-01,2024-11-04,2024-11-04,2024-11-05,,,2024-11-20,Regular Decision,2025-09-24T15:32:55Z,114000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
jswalker,Accepted,3.46,155.0,,"$108,000, Conditional, They do not negotiate",2025-05-01,,,,,,2025-05-13,Regular Decision,2025-06-13T15:25:13Z,108000,True,They do not negotiate,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SpottyDifficultWizard,"Accepted, Withdrawn",3.07,161.0,5-9 years,"$102,000",,,,,,,2025-05-13,,2025-06-13T15:25:03Z,102000,False,,True,,False,White,False,True,False,True,False,False,False,,,5.0,,,,,False,False,Accepted
Shana,Accepted,3.2,145.0,,"$5,000, Conditional",,,,,,,2025-04-27,,2025-06-13T15:25:02Z,5000,True,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MeltedNeedlessPadawon,Accepted,2.62,153.0,,,,,,,,,2025-05-18,,2025-06-13T15:25:15Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PossessiveOceanicEagle,"Accepted, Attending",3.53,151.0,1-4 years,"$114,000",2025-02-05,,2025-02-05,,,,2025-02-12,Regular Decision,2025-06-13T15:24:50Z,114000,False,,False,,False,White,False,False,False,False,True,False,False,,regular,1.0,,,,,False,False,Accepted
MagnificentSulkyKnight,"Accepted, Withdrawn",3.48,160.0,0 years (KJD),"$109,000",,,,,,,2025-02-02,,2025-06-13T15:24:42Z,109000,False,,False,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
DisneyFanatic23,"Accepted, Withdrawn",3.69,153.0,10+ years,"$57,000",,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:42Z,57000,False,,True,,False,White,True,False,False,True,False,False,False,,regular,22.0,,,,,False,False,Accepted
Yodabest,"Accepted, Withdrawn",2.85,157.0,5-9 years,"$87,000, Conditional",2025-03-02,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:44Z,87000,True,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,7.0,,,,,False,False,Accepted
RaggedAbjectKitten,"Accepted, Withdrawn",2.7,154.0,5-9 years,,2024-12-21,,2025-01-29,,,,2025-05-09,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,Accepted
Moi-moi,"Accepted, Withdrawn",2.4,154.0,1-4 years,"$82,000",2025-02-27,,,,,,2025-05-13,Regular Decision,2025-06-13T15:24:50Z,82000,False,,True,,True,Black or African American,False,False,False,True,False,False,True,Academic suspension ,regular,2.0,,,,,False,False,Accepted
MatthewCruz4,"Accepted, Withdrawn",2.73,165.0,1-4 years,"$87,000",,,,,,,2025-01-24,,2025-06-13T15:24:59Z,87000,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,2.0,,,,,False,False,Accepted
ScaryReadyEmu,"accepted, Attending",2.78,156.0,1-4 years,"$87,000, Conditional",,,,,,,2025-01-28,Regular Decision,2025-07-17T12:32:45Z,87000,True,,False,,False,White,False,False,False,False,True,False,True,petit larceny (dismissed),regular,4.0,,,,,False,False,accepted
FutureBALawyer,pending,2.65,149.0,5-9 years,,2025-03-14,,,,,,,Regular Decision,2025-07-03T17:20:47Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,9.0,,,,,False,False,pending
