user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
PremiumPeriodicCapybara,Waitlisted,2.67,159.0,1-4 years,,,,,,,,2024-12-13,,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,,4.0,,,,,False,False,Waitlisted
LEM4life,Pending,3.55,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
TediousAdorableFerret,Accepted,2.8,155.0,,"$84,000",,,,,,,,,2025-06-13T15:24:43Z,84000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
stonerenard,Rejected,2.6,149.0,1-4 years,,2025-04-11,2025-04-14,2025-04-11,2025-04-30,,,2025-05-02,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
swiftredbull,Accepted,3.3,161.0,1-4 years,"$120,000",2024-10-30,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:43Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
didokonthelsat,Accepted,3.3,159.0,,"$120,000",2025-02-26,,,,,,2025-03-18,,2025-06-13T15:24:43Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TheRareESLLawyer,Accepted,3.71,153.0,5-9 years,"$108,000",,,2025-01-02,,,,2025-01-17,Regular Decision,2025-06-13T15:24:43Z,108000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
vikingman279,Accepted,3.3,161.0,,"$114,000",2025-02-02,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:44Z,114000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DeterminedHuckleberry222,Accepted,3.4,157.0,1-4 years,"$105,000",2024-11-11,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:45Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,Fired,regular,2.0,,,,,False,False,Accepted
Abistotle,Pending,3.1,155.0,1-4 years,,2024-09-01,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
TangyWaggishNightingale,Accepted,3.9,150.0,,"$25,000",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:47Z,25000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WallabyWaySydney,Accepted,2.8,157.0,10+ years,"$90,000",2025-02-19,2025-02-19,2025-02-20,,,,2025-02-27,,2025-06-13T15:24:45Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Accepted
MercifulEmptyMilk,Pending,3.5,152.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Tinzero,Rejected,2.1,156.0,1-4 years,,,,,,,,2025-04-12,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
NeatLyricalDwarf,Accepted,3.36,159.0,5-9 years,"$120,000",2024-12-08,2024-12-08,2024-12-09,,,,2024-12-13,Regular Decision,2025-06-13T15:24:46Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
GrubbyFutureTadpole,Rejected,3.82,145.0,1-4 years,,,,,,,,2025-03-10,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
StupidParallelTerrier,Rejected,2.4,157.0,,,,,,,,,2025-03-11,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LargeZanyKingfisher,Accepted,3.77,168.0,,"$152,000",,,,,,,2024-11-22,,2025-06-13T15:24:47Z,152000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
NervousMothMan,Accepted,3.9,161.0,,"$140,000",,,,,,,2024-10-21,Regular Decision,2025-06-13T15:24:47Z,140000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CrowdedMeatyParrot,Accepted,3.97,155.0,,"$120,000, Conditional",2024-12-29,2025-01-24,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:48Z,120000,True,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SadPowerfulCoral,Accepted,3.69,156.0,1-4 years,"$33,000",2025-03-12,2025-03-12,2025-03-13,,,,2025-04-04,Regular Decision,2025-06-13T15:24:48Z,33000,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
GoOwls2023,"WL, Rejected",3.4,148.0,5-9 years,,2025-02-26,,,,,,2025-05-17,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Rejected"
Embu,Pending,,,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ScrappyPenny55,Pending,,155.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WaitingStimulatingPuppy,Accepted,3.7,165.0,10+ years,"$135,000",2025-01-06,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:49Z,135000,False,,True,,False,,False,False,False,False,False,False,True,,regular,10.0,,,,,False,False,Accepted
untrueunkindunnatural,"Accepted, Withdrawn",3.34,164.0,1-4 years,"$120,000",2024-12-08,,,,,,2024-12-14,Regular Decision,2025-06-13T15:24:49Z,120000,False,,True,,False,White,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
LonelyFixedHorse,Accepted,3.37,151.0,,,2025-01-07,,,,,,2025-01-14,,2025-06-13T15:24:49Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
hopinforthebestt,Rejected,3.3,147.0,1-4 years,,2025-02-05,2025-02-10,2025-02-10,,,,2025-02-21,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
