user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
FadedLivelyMagpie,Accepted,3.57,166.0,,"$147,000",2024-12-18,,,,,,2025-01-10,,2025-06-13T15:24:42Z,147000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
OverratedSableGnome,Waitlisted,3.82,164.0,1-4 years,,2024-12-10,,,,,2025-04-22,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
dkheo09,Pending,3.75,163.0,,,2025-04-01,2025-04-03,2025-04-03,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
gold3agle,"WL, Withdrawn",3.11,164.0,1-4 years,,2024-11-16,2024-11-20,2024-11-20,,,,2025-02-17,,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
SkillfulNippyHound,Waitlisted,3.52,157.0,5-9 years,,2024-11-18,,,,,,2025-02-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
TriteKnownCalf,Accepted,3.72,166.0,0 years (KJD),"$141,525",,,,,,,2025-03-13,,2025-06-13T15:24:42Z,141525,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
cougaracha,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,"$141,525",2025-01-23,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,141525,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
depressoespresso,"WL, Withdrawn",4.0,161.0,,,2024-09-30,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
DirefulTalentedMule,"WL, Withdrawn",3.79,164.0,1-4 years,,2024-11-27,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
seeingstarz,Rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-03-31,,,2025-04-22,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
BlueberriesBarrel,"WL, Withdrawn",3.09,165.0,1-4 years,,2025-01-29,2025-01-30,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
gshrimpy,Pending,3.85,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
TheHumbleChungus,"WL, Withdrawn",3.31,168.0,,,2025-02-20,,,2025-02-22,,,2025-02-24,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
PlsNotAnotherRandR,"WL, Withdrawn",,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
JudiciousAcceptableDog,"WL, Withdrawn",3.75,167.0,5-9 years,,2024-12-13,,,,,2025-02-19,2025-01-16,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,True,False,False,True,,regular,7.0,,,,,False,False,WL
VacuousSoreCentaur,"WL, Withdrawn",2.9,167.0,10+ years,,2025-01-06,,2025-01-10,2025-01-15,,2025-02-19,2025-01-16,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,17.0,,,,,False,False,WL
BeneaththeWheel,"WL, Withdrawn",3.94,164.0,0 years (KJD),,2024-10-20,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:44Z,,False,,True,Asked for it,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
OssifiedFeignedChipmunk,Pending,3.4,163.0,1-4 years,,2025-01-31,2025-02-04,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
