user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ForsakenEbb,"WL, Withdrawn",3.5,159.0,5-9 years,,2025-01-15,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,True,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
FamiliarPuffyFowl,Waitlisted,3.08,158.0,1-4 years,,2025-02-02,,,,,,2025-04-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
UpsetKnowingPirate,Waitlisted,3.65,157.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
HappyFestiveHippo,Pending,3.5,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,True,,False,East Asian,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
flossybaby,Pending,3.4,159.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
MagnificentShortQueen,Rejected,,153.0,5-9 years,,2025-02-01,,,,,,2025-04-07,,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
BlunderingIdiot,Accepted,3.84,162.0,0 years (KJD),"$138,120, full scholarship plus stipend (dean's merit award) out of state student",2024-11-17,2024-11-17,2024-11-18,2024-11-18,,,2024-12-03,Regular Decision,2025-06-13T15:24:44Z,138120,False,full scholarship plus stipend (dean's merit award) out of state student,True,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
AquaticCreepyTortoise,Accepted,3.59,159.0,5-9 years,"$34,800",2024-10-01,2024-10-01,2024-10-01,2024-11-06,,,2025-01-08,Regular Decision,2025-06-13T15:24:44Z,34800,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
breenajeanjellybean,Pending,3.22,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SableAbandonedCoyote,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AbusiveCumbersomeDragon,"WL, Withdrawn",3.43,154.0,5-9 years,,2024-10-23,2024-10-23,2024-10-23,,,,,,2025-06-13T15:24:49Z,,False,,True,,False,White,False,True,False,True,False,False,False,,,7.0,,,,,False,False,WL
SaulGoodman36,Waitlisted,3.77,155.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DKargari,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DefNotSheldonCooper,Waitlisted,2.59,158.0,10+ years,,2025-01-29,2025-01-29,2025-01-29,2025-01-29,,,2025-03-06,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,30.0,,,,,False,False,Waitlisted
Applicant70,Waitlisted,3.46,157.0,,,2025-03-13,,2025-03-14,,,,2025-04-07,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WarmNinePrawn,Waitlisted,3.51,157.0,0 years (KJD),,,,,,,,2025-02-13,,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
hhall1999,Pending,3.56,165.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ElephantDefeatedZyn,Rejected,,,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Bananacoffee,Waitlisted,3.4,152.0,1-4 years,,2024-11-25,2025-02-26,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
sparklejumpropequeen,Accepted,3.2,168.0,1-4 years,"$47,277, negotiated to from 40% scholarship to 50%",2024-12-02,2024-12-03,2024-12-03,2024-12-04,,,2024-12-11,Regular Decision,2025-06-13T15:24:45Z,47277,False,negotiated to from 40% scholarship to 50%,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
PepsiRolex,"WL, Withdrawn",3.05,,,,2024-10-09,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
MichealRoss,Pending,3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
StupidParallelTerrier,Rejected,2.4,157.0,,,,,,,,,2025-04-07,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ThirstyAccuratePuppy,Pending,3.32,174.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
lawsagegreen,Pending,3.2,172.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CashCarti,Waitlisted,3.69,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
war0914,Pending,3.48,155.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Pending
PrettyAbashedRay,Accepted,3.38,161.0,,,,,,,,,2024-12-03,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CooperativePuffyGorgon,Pending,3.54,161.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Dragonbornapplicant,Pending,,,,,2024-12-07,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
professional-neck,Waitlisted,3.58,151.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,True,,regular,,,,,,False,False,Waitlisted
FuturisticChildlikeWildebeest,Rejected,2.55,172.0,,,,,,,,,2025-03-31,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SecretDisgustedCollie,Waitlisted,3.87,155.0,1-4 years,,,,2025-02-25,,,,2025-04-07,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
SturdyAmusingTarantula,Pending,3.5,159.0,1-4 years,,2025-02-12,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
MarriedSwelteringSalad,Waitlisted,3.32,168.0,1-4 years,,,,2024-12-10,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Waitlisted
socialworklawyer,Waitlisted,3.6,154.0,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
gbr,Waitlisted,3.7,156.0,,,2025-01-19,2025-01-21,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
EarsplittingYieldingGoat,"WL, Withdrawn",3.73,157.0,1-4 years,,2024-11-29,2024-12-02,2024-12-02,2024-12-12,,,2025-02-13,Regular Decision,2025-06-13T15:25:10Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
RuthlessAromaticTermite,Waitlisted,3.5,150.0,,,2025-02-07,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
hopinforthebestt,Rejected,3.3,147.0,1-4 years,,2025-02-07,2025-02-07,2025-02-07,,,,2025-04-07,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
RatKingGangGang,Waitlisted,,,,,2025-03-15,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,,,,,,False,False,Waitlisted
kjsdfiurhfiurehfiegtr,Waitlisted,3.24,150.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ThugPug,Rejected,2.97,155.0,5-9 years,,2025-02-28,2025-03-03,2025-03-03,2025-03-13,,,2025-04-07,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
tcd,Rejected,,,,,2025-03-15,,,,,,2025-04-07,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LonelyFixedHorse,Waitlisted,3.37,151.0,,,2024-12-26,,,,,,2025-02-13,,2025-06-13T15:24:49Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
FestivalFairy,Waitlisted,3.83,154.0,5-9 years,,,,,,,,2025-04-07,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Waitlisted
Ekalpooc,Waitlisted,3.48,157.0,1-4 years,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
GratefulAcridTomato,Pending,,,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
spencer,Rejected,3.05,155.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
acccca,Pending,3.94,168.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,True,DUI,,,,,,,False,False,Pending
OldTimer94,Pending,3.69,158.0,5-9 years,,,,,,,,,,2025-06-13T15:24:50Z,,False,,False,,False,,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
thereisnofear,Accepted,3.73,164.0,0 years (KJD),"$63,036, 2/3 Merit Scholarship Award, Fee Waiver: Had to request for need-based fee waiver",2025-02-06,2025-02-06,2025-02-06,2025-02-07,,,2025-02-12,Regular Decision,2025-06-13T15:24:50Z,63036,False,2/3 Merit Scholarship Award,True,Had to request for need-based fee waiver,False,East Asian,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
IWILLSUPERSPLIT,Rejected,2.11,177.0,1-4 years,,,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,True,Academic Dismissal :'),regular,2.0,,,,,False,False,Rejected
Beebeedancer,Accepted,3.9,160.0,1-4 years,,2025-02-24,,,,,,2025-03-26,,2025-06-13T15:24:51Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
RFelixFinch,Rejected,3.95,168.0,10+ years,,2025-01-16,2025-01-16,2025-01-16,2025-01-16,,,2025-02-05,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,True,Multiracial,True,False,False,False,False,False,True,Misdemeanor Fraud,regular,19.0,,,,,False,False,Rejected
SomberNastyLizard,Rejected,2.77,148.0,0 years (KJD),,2025-02-21,2025-02-21,2025-03-04,,,,2025-04-07,Priority Track,2025-06-13T15:24:51Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,priority,0.0,,,,,False,False,Rejected
StevieMoe,Pending,3.37,152.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Fenuxe,Waitlisted,2.92,158.0,1-4 years,,2025-02-11,2025-02-11,2025-02-12,2025-02-12,,,2025-04-07,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
LemonCoast,Pending,,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FirstBrownLeopard,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
cali2good,Accepted,3.4,156.0,1-4 years,"$35,000",,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:52Z,35000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SameCravenOstrich,Accepted,3.69,161.0,1-4 years,"$51,000, 1/2 tuition scholarship",,,,,,,2025-02-12,,2025-06-13T15:24:52Z,51000,False,1/2 tuition scholarship,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
cutecoffeegriffon,Pending,3.88,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
say-gex,Waitlisted,3.77,158.0,0 years (KJD),,2025-03-10,2025-03-10,,,,,2025-04-07,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
NonstopSpottedManatee,Accepted,3.8,163.0,,,,,,,,,2025-03-03,,2025-06-13T15:24:53Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MadonnaSummer,Pending,2.94,,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
yodenskedda,Accepted,3.7,163.0,,,,,,,,,2025-01-19,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TheBigDeal66,"WL, Withdrawn",3.52,159.0,5-9 years,,2024-12-24,,,,,,2025-02-26,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,5.0,,,,,False,False,WL
DecorousSplendidSalamander,Rejected,2.4,169.0,,,2025-03-01,,,,,,2025-03-01,,2025-06-13T15:24:53Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
RusticSimpleShark,Waitlisted,3.71,158.0,,,,,,,,,,,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
HospitableInexpensiveTermite,Rejected,2.97,147.0,10+ years,,,,,,,,2025-04-08,,2025-06-13T15:24:53Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
HangingCrazyPickle,Waitlisted,3.38,154.0,1-4 years,,2024-11-02,2024-11-04,2024-11-04,,,,2025-02-13,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academic Probation,regular,2.0,,,,,False,False,Waitlisted
WonderfulFierceFerret,Waitlisted,3.72,157.0,,,,,,,,,,,2025-06-13T15:24:54Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RainyInconclusiveMacaw,Waitlisted,3.8,152.0,,,,2025-02-03,2025-02-12,,,,,,2025-06-13T15:24:54Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
