user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MonateMonna,Accepted,3.6,165.0,1-4 years,,2024-09-24,,2024-10-01,,,2024-12-05,2024-12-18,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
IllUnsuitablePadawon,Waitlisted,3.43,164.0,1-4 years,,,,,,,,2025-01-09,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
imtellingthetruth,Waitlisted,3.72,156.0,1-4 years,,2024-11-25,2024-11-25,2024-11-27,,,,2025-01-22,Early Decision → Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,ed-to-rd,3.0,,,,,False,False,Waitlisted
sharkboy,Accepted,3.94,155.0,,"$66,000",2024-11-13,2024-11-13,2024-11-18,2024-11-25,2025-02-21,2025-02-27,2025-03-12,Regular Decision,2025-06-13T15:24:42Z,66000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WholesaleIllRock,Waitlisted,3.27,148.0,1-4 years,,2024-12-10,2024-12-18,2024-12-18,,,,2025-03-26,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
SoupB0y,Pending,2.85,154.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Pending
WayneJarvis123,Rejected,3.59,170.0,5-9 years,,,,,,,,2025-04-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
mailman12,wl_rejected,2.86,163.0,0 years (KJD),,2024-11-28,2024-11-28,2024-12-02,2024-12-11,,,2025-07-16,,2025-07-16T15:02:44Z,,False,,False,,False,,False,True,False,False,False,False,True,"academic probation (at two schools), speeding ticket, housing infraction for missed COVID test",,0.0,,,,,False,False,wl_rejected
letmeinplease3,Rejected,3.32,161.0,1-4 years,,2025-02-07,2025-02-10,2025-02-10,2025-02-24,,,2025-05-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
VastTabooHeron,Waitlisted,3.51,177.0,1-4 years,,2025-02-04,2025-02-04,2025-02-17,2025-03-03,,,2025-05-09,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
