user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
OrangeLewdBison,Pending,3.53,152.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EPrich44,Accepted,3.83,158.0,,"$45,000",2024-10-23,2024-10-23,2024-10-23,2024-11-12,,,2024-12-20,Early Decision,2025-06-13T15:24:44Z,45000,False,,False,,False,White,False,True,False,False,False,False,False,,early,,,,,,False,False,Accepted
IntelligentOwl7,Accepted,4.05,154.0,,"$18,000, Fee Waiver: Alumni",2025-02-01,2025-02-03,2025-02-03,,,,2025-03-21,Regular Decision,2025-06-13T15:24:44Z,18000,False,,True,Alumni,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Spartyparty,"WL, Withdrawn",3.34,154.0,,,,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
SecondEquableBluebird,Waitlisted,3.36,152.0,,,2024-12-07,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
QueenSwissMiss,Waitlisted,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
VagueHaltingYogurt,Accepted,3.84,164.0,1-4 years,"$70,000",,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:46Z,70000,False,,True,,False,,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
SpottedHighBonobo,Pending,3.87,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,157.0,150.0,3.5,,False,False,Pending
MiaTallman2003,Pending,4.0,172.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PossessiveAbidingHatchling,Pending,3.3,158.0,,,2025-03-01,,2025-03-05,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
HarkUponTheGale,Waitlisted,3.96,180.0,0 years (KJD),,2025-01-31,2025-01-31,,2025-02-14,,,2025-04-07,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
SimSimma,Pending,3.75,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
JollyFluffyCactus,"WL, Withdrawn",3.4,159.0,5-9 years,,2024-12-10,,,,,,,Regular Decision,2025-06-13T15:25:03Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
EqualPluckyOctopus,Rejected,3.4,146.0,,,2025-03-15,2025-03-16,,,,,2025-05-15,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
YouthfulCumbersomeLoon,Accepted,2.9,158.0,,"$105,000",,,,,,,2025-02-07,,2025-06-13T15:24:48Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PossessiveOceanicEagle,"WL, Withdrawn",3.53,151.0,1-4 years,,,,,,,,,,2025-06-13T15:25:08Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
DareDevilDuckling,Pending,3.1,,0 years (KJD),,2025-02-20,2025-02-21,2025-03-21,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,141.0,139.0,4.5,,False,False,Pending
FutureVenomousRabbit,Accepted,3.8,159.0,,"$120,000",,,,,,,2025-01-17,Regular Decision,2025-06-13T15:24:49Z,120000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
daveswrld999,Pending,3.04,144.0,5-9 years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
ScatteredMaterialCamel,Waitlisted,3.44,158.0,5-9 years,,2025-02-05,,,,,,2025-06-03,,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Waitlisted
MacabreFlagrantSnake,Pending,3.77,166.0,,,2024-12-03,,2025-01-17,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PaleDrabBlackbird,Waitlisted,3.72,152.0,,,2024-11-01,,2024-11-15,2024-11-15,,,2025-03-18,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
HMHAR,Pending,2.7,169.0,,,,,2024-12-15,2025-01-03,,,,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
tripledoublesingle,Accepted,3.46,153.0,5-9 years,"$17,996",,,,,,,2025-02-13,,2025-06-13T15:24:51Z,17996,False,,False,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
illAfternoon,Accepted,3.9,172.0,,"$75,000",,,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:51Z,75000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WVUHopeful,Accepted,2.89,167.0,5-9 years,,2024-10-04,2024-10-04,2024-10-04,,,,2024-12-20,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
T100,Accepted,3.37,157.0,,,,,,,,,2025-02-12,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
UbiquitousRudeOcelot,Pending,3.8,153.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
Cowboy22,Pending,3.71,152.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:55Z,,False,,True,,False,,True,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$19,000",2024-09-15,,2024-09-15,,,,,Regular Decision,2025-06-13T15:24:58Z,19000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
NormalAspiringChameleon,Pending,3.58,160.0,,,2025-02-05,,,,,,,Regular Decision,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
