user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ShrillRottenMongoose,Rejected,3.73,,,,2025-01-02,2025-01-03,2025-01-06,,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
JohnnyRigs,Rejected,3.98,169.0,0 years (KJD),,2025-01-04,2025-01-06,2025-01-06,,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
yumyulack,Rejected,3.76,169.0,1-4 years,,,,,,,2025-02-28,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ElectricKeese,Rejected,3.95,172.0,1-4 years,,2024-11-08,2024-11-11,2024-11-12,,,,2024-12-12,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
Trayn9,Rejected,3.81,171.0,0 years (KJD),,2024-11-10,2024-11-11,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
AliveDeadYogurt,Rejected,3.92,172.0,,,,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
FascinatedVagueElephant,Rejected,3.87,176.0,1-4 years,,,,,,,2024-11-10,2025-02-28,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
TomatoTree,Waitlisted,3.98,173.0,,,2024-12-16,2024-12-17,2024-12-18,,,2024-12-23,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
InquisitiveMiscreantAngelfish,Rejected,3.96,171.0,1-4 years,,2024-11-29,2024-12-02,2024-12-02,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
BrightHallowedRice,Rejected,4.12,168.0,1-4 years,,,,,,,,2025-02-26,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
